,ONSConstID,cluster_demo
353,E14000790,4
354,E14000791,3
355,E14000792,0
356,S14000043,1
357,E14000793,4
358,E14000794,1
359,E14000795,0
360,E14000796,1
361,S14000044,1
362,W07000045,3
363,E14000797,3
364,E14000798,3
365,E14000799,3
366,E14000800,1
367,E14000801,0
368,E14000802,2
369,E14000803,2
370,E14000804,3
371,E14000805,3
372,E14000806,3
373,E14000807,4
374,E14000808,0
375,E14000809,4
376,E14000810,1
377,E14000811,2
378,E14000812,3
379,W07000071,1
380,E14000819,1
381,E14000820,3
382,S14000045,1
383,E14000821,0
384,E14000822,0
385,E14000823,0
386,E14000824,2
387,W07000054,2
388,W07000063,3
389,S14000046,1
390,E14000825,3
391,E14000826,3
392,S14000047,1
393,S14000027,3
394,W07000069,3
395,E14000827,3
396,E14000828,3
397,E14000829,3
398,E14000830,2
399,E14000834,3
400,E14000831,0
401,E14000832,0
402,E14000833,3
403,W07000055,1
404,W07000056,3
405,E14000835,3
406,E14000816,3
407,E14000848,3
408,E14000859,3
409,E14000941,3
410,E14000952,3
411,E14000836,1
412,E14000861,1
413,E14000862,0
414,E14000942,2
415,E14000863,1
416,E14000864,0
417,E14000865,0
418,E14000866,1
419,E14000867,0
420,E14000868,1
421,S14000050,3
422,W07000074,1
423,E14000869,3
424,E14000870,1
425,E14000871,1
426,S14000051,3
427,E14000872,2
428,E14000873,4
429,E14000874,2
430,S14000052,3
431,S14000053,1
432,E14000875,3
433,E14000876,3
434,E14000877,3
435,S14000054,3
436,E14000878,1
437,E14000879,1
438,E14000880,0
439,W07000075,3
440,E14000881,3
441,E14000882,4
442,E14000883,3
443,E14000884,0
444,W07000065,3
445,E14000885,0
446,E14000886,2
447,E14000887,4
448,E14000888,3
449,E14000889,0
450,E14000890,0
451,E14000891,1
452,E14000892,1
453,E14000893,2
454,S14000021,2
455,W07000052,1
456,E14000894,2
457,E14000895,2
458,E14000896,2
459,E14000897,1
460,E14000898,3
461,E14000899,1
462,E14000900,3
463,E14000901,2
464,S14000055,3
465,E14000902,3
466,E14000903,3
467,E14000904,1
468,E14000905,3
469,E14000906,2
470,E14000907,2
471,E14000908,2
472,S14000056,1
473,E14000909,2
474,E14000910,2
475,E14000960,2
476,E14000961,3
477,E14000962,1
478,E14000963,1
479,E14000964,3
480,E14000911,0
481,E14000912,2
482,E14000913,3
483,E14000914,1
484,E14000915,1
485,E14000916,2
486,E14000917,3
487,E14000918,2
488,E14000921,1
489,E14000919,4
490,E14000922,2
491,E14000923,1
492,E14000920,1
493,E14000924,3
494,E14000925,2
495,E14000926,3
496,E14000849,3
497,E14000927,1
498,E14000928,2
499,E14000929,3
500,E14000930,0
