,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S00115429,94,11,37,1,10,1,13,5,4,12,-,2,1,1,5
S00115430,95,11,45,7,1,6,16,2,1,3,3,1,-,-,-
S00115431,96,23,32,5,4,6,13,8,1,4,-,2,-,-,2
S00115432,68,9,30,1,4,2,11,1,1,8,1,-,1,-,1
S00115433,127,13,52,4,4,5,29,4,7,6,3,1,2,-,3
S00115434,142,25,52,8,4,7,19,8,5,11,3,1,1,-,1
S00115435,92,12,39,3,3,1,9,8,4,12,1,2,-,-,1
S00115436,59,7,22,2,5,3,7,5,3,3,2,2,-,-,2
S00115437,111,10,54,4,2,3,13,7,7,9,2,1,1,1,1
S00115438,79,5,38,6,7,1,9,2,3,7,1,2,1,1,-
S00115439,83,16,30,6,-,6,8,4,3,6,4,-,-,-,-
S00115440,95,15,43,4,6,4,4,11,2,4,2,3,1,2,2
S00115441,96,15,38,6,4,3,20,1,6,2,1,2,1,1,1
S00115442,72,8,34,3,4,1,12,4,2,4,-,1,2,1,2
S00115443,109,19,35,6,10,6,12,8,6,6,1,3,4,4,5
S00115444,61,3,30,4,2,-,7,4,3,7,1,-,1,-,1
S00115445,74,9,28,1,4,4,10,3,6,9,-,1,-,-,-
S00115446,80,7,32,2,-,4,20,6,2,7,-,-,-,-,-
S00115447,83,8,36,4,4,5,13,8,1,3,1,1,-,-,3
S00115448,75,9,33,5,8,-,11,3,-,3,3,1,4,1,3
S00115449,54,5,26,3,3,-,8,1,-,7,1,1,-,-,-
S00115450,89,9,38,2,1,5,16,4,7,4,3,1,-,-,-
S00115451,76,12,35,-,4,3,6,7,3,5,1,1,-,-,2
S00115452,79,8,21,3,7,3,14,7,6,8,2,1,1,1,4
S00115453,68,11,29,4,-,1,13,1,1,7,1,-,-,-,-
S00115454,109,6,35,15,1,1,24,10,7,4,6,1,-,-,-
S00115455,69,7,26,3,8,3,10,4,2,4,2,2,2,2,3
S00115456,80,9,24,1,4,3,12,17,2,8,-,-,3,-,4
S00115457,71,10,17,3,2,2,12,2,4,16,3,-,2,1,1
S00115458,61,12,18,4,-,1,10,4,3,8,1,-,-,-,-
S00115459,44,4,14,5,3,-,10,2,2,4,-,1,1,-,-
S00115460,89,18,33,3,4,3,12,3,3,7,3,1,-,1,2
S00115461,70,3,30,4,3,3,20,2,1,4,-,-,1,-,1
S00115462,83,13,28,1,5,1,16,4,1,12,2,-,2,-,3
S00115463,69,8,22,2,5,3,13,2,1,12,1,2,-,1,4
S00115464,91,4,55,6,3,8,6,2,2,5,-,1,-,1,1
S00115465,48,7,15,1,2,2,10,3,2,5,1,-,-,-,1
S00115466,59,4,21,-,5,1,13,4,3,6,2,2,1,2,3
S00115467,54,7,19,-,3,2,15,1,2,5,-,-,-,1,-
S00115468,40,6,15,1,4,-,10,2,1,1,-,1,-,-,2
S00115469,55,6,19,-,1,2,11,2,3,10,1,-,-,-,-
S00115470,46,5,14,1,2,-,16,1,1,4,2,-,2,-,1
S00115471,81,18,33,5,6,2,6,1,1,8,1,1,-,1,2
S00115472,75,6,35,3,2,1,21,-,1,5,1,2,-,1,1
S00115473,67,9,29,4,2,-,9,1,3,9,1,-,-,-,1
S00115474,93,13,40,-,1,1,22,4,2,9,1,-,-,-,-
S00115475,68,10,17,1,5,4,8,7,6,7,3,-,-,1,3
S00115476,77,8,19,11,4,1,16,3,5,9,1,2,-,2,1
S00115477,55,4,20,3,4,1,14,1,-,7,1,-,2,-,3
S00115478,67,10,28,2,4,3,8,5,4,2,1,3,-,2,1
S00115479,87,9,31,9,3,4,20,2,4,3,2,1,1,1,1
S00115480,99,14,45,4,4,6,20,3,2,1,-,3,-,-,2
S00115481,67,5,40,2,6,4,6,1,1,1,1,1,1,-,2
S00115482,60,6,25,1,2,2,9,1,2,9,3,-,-,-,1
S00115483,84,7,60,1,3,-,5,-,1,6,1,1,-,-,1
S00115484,62,5,20,4,4,-,17,2,1,7,2,-,1,-,3
S00115485,61,5,17,1,4,2,17,-,4,8,3,-,2,-,3
S00115486,167,25,50,11,17,8,18,3,10,20,5,6,1,3,7
S00115487,132,14,45,-,17,1,16,6,3,21,9,6,2,2,6
S00115488,126,20,45,2,8,9,10,5,9,9,9,5,1,-,5
S00115489,128,14,40,2,14,4,13,9,10,19,3,6,2,2,8
S00115490,61,3,22,4,6,1,11,5,1,7,1,2,1,1,3
S00115491,88,16,47,2,3,3,12,1,-,4,-,-,-,-,1
S00115492,87,12,39,3,9,2,13,-,2,6,1,3,2,1,1
S00115493,54,9,18,-,5,-,15,-,2,4,1,-,1,1,3
S00115494,31,2,13,1,1,-,10,-,1,2,1,-,-,-,-
S00115495,45,11,13,3,6,-,8,-,-,4,-,3,2,-,3
S00115496,55,9,9,1,7,-,8,-,1,16,4,3,2,-,2
S00115497,72,6,20,3,2,4,18,1,4,11,3,-,-,-,-
S00115498,135,13,61,7,4,10,30,6,-,4,-,3,-,2,-
S00115499,79,11,24,8,1,4,20,1,2,6,2,1,-,-,-
S00115500,106,15,39,4,3,6,20,5,6,4,4,2,1,-,1
S00115501,76,16,34,3,9,3,3,2,2,1,3,3,-,3,2
S00115502,107,13,58,7,5,3,11,5,2,3,-,2,1,1,1
S00115503,87,16,45,4,4,4,5,2,2,4,1,-,2,-,2
S00115504,78,12,34,1,4,9,11,-,1,4,2,-,-,-,2
S00115505,81,11,31,6,10,5,6,4,5,1,2,4,2,3,1
S00115506,49,6,28,1,-,-,9,2,1,2,-,-,-,-,-
S00115507,76,10,39,3,3,1,7,4,7,2,-,-,-,1,-
S00115508,74,13,33,1,2,5,9,5,4,2,-,1,-,-,2
S00115509,82,14,29,8,8,1,3,6,9,2,2,1,2,-,2
S00115510,60,9,34,1,2,3,-,5,4,1,1,-,-,-,-
S00115511,74,9,42,2,4,2,5,2,3,4,1,-,-,-,3
S00115512,75,6,36,3,14,-,5,7,-,4,-,3,3,3,4
S00115513,63,4,21,1,8,2,12,1,4,9,1,-,3,-,4
S00115514,42,-,17,3,5,-,7,1,-,9,-,2,-,2,1
S00115515,67,4,19,6,9,3,8,-,2,16,-,5,1,3,5
S00115516,87,12,32,6,3,3,7,7,7,7,3,2,1,-,2
S00115517,87,11,35,2,12,3,10,1,7,5,1,6,3,2,2
S00115518,89,7,39,4,5,2,17,3,7,4,1,2,-,1,3
S00115519,62,5,25,1,4,1,13,1,2,7,3,1,2,-,3
S00115520,84,16,32,1,4,4,12,5,4,6,-,3,1,1,-
S00115521,64,5,25,1,5,1,11,5,1,8,2,2,-,1,1
S00115522,100,13,35,5,9,2,21,5,2,6,2,1,3,-,6
S00115523,80,6,32,3,6,2,16,-,3,10,2,3,1,1,3
S00115524,65,7,26,1,4,1,14,2,-,9,1,1,1,-,3
S00115525,82,12,25,8,11,1,12,3,3,5,2,2,1,3,2
S00115526,85,14,33,2,5,1,15,5,3,3,4,-,2,-,2
S00115527,112,11,57,4,7,5,12,5,3,7,1,2,1,-,3
S00115528,39,7,16,2,2,4,2,-,2,2,2,1,-,1,1
S00115529,129,31,66,1,6,3,11,4,2,3,2,1,2,-,2
S00115530,130,22,59,6,8,8,15,6,3,-,3,4,1,3,4
S00115531,70,9,28,6,7,4,8,1,5,-,2,-,2,1,2
S00115532,91,10,47,6,5,4,8,3,2,5,1,3,1,-,3
S00115533,67,4,42,1,4,3,7,3,1,1,1,2,-,1,2
S00115534,68,9,15,1,4,1,15,4,3,14,2,1,-,1,1
S00115535,103,18,42,4,6,12,11,6,3,-,1,-,2,-,2
S00115536,89,9,24,7,3,2,28,10,2,4,-,1,1,1,1
S00115537,89,10,34,8,5,3,16,7,3,-,3,-,1,1,1
S00115538,96,10,47,5,5,6,13,3,2,4,1,1,1,-,2
S00115539,94,15,29,3,4,6,23,4,4,4,2,-,-,2,-
S00115540,72,5,25,8,2,4,17,3,4,2,2,1,-,1,1
S00115541,114,12,47,11,4,7,14,6,5,5,3,3,-,-,1
S00115542,93,13,35,11,5,2,13,3,4,5,2,1,1,-,1
S00115543,45,4,17,1,3,5,5,1,6,1,2,3,-,2,-
S00115544,99,20,18,4,10,11,11,13,6,5,1,4,1,5,3
S00115545,53,9,9,1,10,6,1,8,6,2,1,3,-,3,5
S00115546,60,8,14,3,8,3,1,5,10,4,4,3,-,2,4
S00115547,110,20,30,7,12,9,9,4,6,8,5,4,1,4,2
S00115548,59,4,21,3,4,2,10,2,3,9,1,-,-,-,2
S00115549,61,7,7,2,7,2,4,12,10,7,3,2,-,1,2
S00115550,66,8,22,3,6,-,10,6,-,8,3,1,2,-,3
S00115551,67,9,25,2,3,3,11,3,2,7,2,1,1,1,1
S00115552,79,12,28,3,4,5,7,2,1,9,8,-,1,-,2
S00115553,97,10,49,3,6,-,13,1,5,8,2,1,-,-,2
S00115554,111,6,37,2,3,4,18,5,2,31,3,-,1,-,-
S00115555,63,9,15,1,4,-,15,3,1,10,5,-,2,-,3
S00115556,89,8,37,3,3,3,12,7,5,7,4,2,-,1,1
S00115557,68,5,22,2,2,2,15,5,5,9,1,-,1,-,-
S00115558,61,5,21,3,6,1,9,-,-,16,-,3,-,-,2
S00115559,59,2,27,4,2,1,10,2,2,7,2,1,1,-,-
S00115560,89,12,30,6,4,3,20,3,1,8,2,-,-,-,2
S00115561,49,5,14,3,6,-,8,1,1,10,1,1,1,1,3
S00115562,56,7,26,3,2,1,8,-,-,7,2,-,2,-,2
S00115563,127,21,54,6,5,6,18,5,-,6,6,-,2,-,2
S00115564,130,20,52,6,6,5,24,5,5,6,1,-,-,-,5
S00115565,67,8,20,2,6,1,17,4,-,9,-,1,2,1,2
S00115566,97,14,42,3,7,2,15,5,1,4,4,3,1,1,4
S00115567,65,2,25,1,2,1,22,-,-,12,-,-,1,-,1
S00115568,45,4,16,9,-,3,8,2,1,-,2,-,-,-,-
S00115569,66,5,27,8,3,4,13,4,-,-,2,-,-,-,2
S00115570,130,15,41,4,6,5,42,8,1,7,1,2,1,1,-
S00115571,125,14,48,5,1,1,48,3,-,4,1,-,-,1,-
S00115572,120,10,36,14,6,10,31,3,3,5,2,4,2,1,1
S00115573,109,19,47,6,2,9,22,1,1,-,2,-,-,-,-
S00115574,62,4,20,1,4,1,24,4,1,3,-,-,1,-,2
S00115575,91,11,36,3,8,2,12,3,3,11,2,1,3,-,5
S00115576,56,6,21,5,-,1,11,-,-,9,3,-,-,-,-
S00115577,74,6,31,5,2,1,19,1,4,4,1,-,-,-,1
S00115578,134,22,70,3,5,5,16,4,3,3,3,4,1,2,-
S00115579,66,10,24,1,-,4,12,3,2,7,3,-,-,-,-
S00115580,77,8,27,3,4,2,17,4,5,5,2,-,-,1,1
S00115581,113,19,42,9,4,3,13,9,5,7,2,1,-,1,2
S00115582,89,7,30,7,2,7,29,5,-,2,-,-,2,-,1
S00115583,50,6,15,1,2,-,13,3,1,9,-,-,1,-,1
S00115584,75,4,44,2,1,2,16,2,2,1,1,1,-,-,-
S00115585,89,8,33,7,2,5,25,4,4,1,-,1,-,-,-
S00115586,83,10,30,6,2,-,20,1,4,7,3,-,1,-,1
S00115587,86,7,27,12,4,4,19,-,6,6,1,1,1,2,2
S00115588,131,19,59,9,5,4,24,7,2,2,-,2,-,-,2
S00115589,118,22,61,5,3,3,8,8,5,3,-,2,-,-,1
S00115590,68,12,30,3,4,4,4,2,2,7,-,-,1,-,2
S00115591,98,13,45,3,1,8,12,7,3,5,1,1,-,-,-
S00115592,109,17,58,4,3,7,9,3,1,7,-,2,-,1,-
S00115593,59,9,18,2,3,1,11,2,4,8,1,-,1,-,1
S00115594,101,17,56,3,5,3,5,6,2,2,2,2,1,1,1
S00115595,73,11,33,5,6,2,9,2,2,1,2,-,1,-,1
S00115596,92,14,33,4,3,6,14,8,4,5,1,-,2,-,1
S00115597,91,12,37,2,7,4,17,2,2,6,2,3,1,-,5
S00115598,64,14,26,3,3,5,5,4,2,1,1,1,1,-,2
S00115599,111,26,55,4,5,2,5,7,2,3,2,3,-,-,-
S00115600,83,10,29,2,6,1,19,5,3,5,3,1,1,1,4
S00115601,54,4,14,1,2,-,17,3,4,7,2,2,-,-,-
S00115602,68,8,15,6,5,-,18,3,-,8,5,1,1,1,1
S00115603,55,8,2,-,9,5,3,1,16,7,4,1,2,1,7
S00115604,60,10,10,2,7,3,-,8,9,3,8,1,1,-,4
S00115605,60,6,8,2,6,-,2,7,8,8,13,-,-,-,3
S00115606,70,9,16,3,16,2,6,8,1,5,4,4,-,7,5
S00115607,42,1,9,-,13,2,1,3,5,7,1,3,1,2,6
S00115608,97,15,19,2,16,5,1,13,8,10,8,2,2,7,9
S00115609,56,7,18,-,6,1,13,1,-,6,4,1,1,-,2
S00115610,57,8,21,4,1,2,8,3,3,7,-,-,-,-,-
S00115611,98,15,38,5,8,5,14,8,2,1,2,5,1,2,2
S00115612,146,28,71,6,4,6,9,7,9,5,1,2,-,2,1
S00115613,113,21,44,6,3,10,10,5,5,6,3,1,-,-,1
S00115614,77,12,40,2,3,1,13,1,-,3,2,1,-,-,2
S00115615,62,15,18,2,5,3,8,1,3,7,-,-,1,1,3
S00115616,92,15,52,2,6,1,8,2,2,2,2,2,1,-,3
S00115617,73,16,28,6,3,4,13,1,2,-,-,-,2,-,1
