,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S92000003,"3,970,530","529,816","1,573,416","297,693","189,414","148,560","591,667","218,412","141,542","203,975","76,035","57,222","34,880","26,416","73,269"
S00088956,152,28,71,14,1,4,15,10,7,1,1,1,-,-,-
S00088957,53,7,23,8,2,2,4,1,4,2,-,-,1,-,1
S00088958,59,10,22,9,-,1,6,6,5,-,-,-,-,-,-
S00088959,62,5,28,10,3,-,4,3,7,1,1,1,2,1,-
S00088960,54,7,23,7,2,1,6,2,4,-,2,-,2,-,2
S00088961,175,6,34,34,5,6,15,9,5,43,18,2,1,1,2
S00088962,54,5,22,12,2,2,5,1,4,1,-,1,1,1,-
S00088963,60,5,29,11,1,1,5,3,3,2,-,-,-,-,1
S00088964,72,13,26,14,-,7,9,2,1,-,-,-,-,-,-
S00088965,110,10,43,17,2,6,15,9,4,3,1,-,-,-,2
S00088966,92,9,34,11,1,3,11,4,5,9,5,1,-,1,-
S00088967,45,8,19,9,-,3,2,3,-,1,-,-,-,-,-
S00088968,46,3,21,6,1,-,10,3,1,-,1,-,-,-,1
S00088969,120,18,55,16,-,8,10,7,5,1,-,-,-,-,-
S00088970,91,11,38,8,3,8,13,7,3,-,-,-,1,-,-
S00088971,62,5,30,7,3,5,6,5,-,-,1,1,-,-,-
S00088972,119,6,66,5,5,18,2,13,4,-,-,1,-,1,-
S00088973,108,20,38,5,6,6,21,6,5,1,-,-,2,-,3
S00088974,100,11,33,5,10,9,8,7,4,11,2,3,1,-,3
S00088975,67,5,38,1,1,9,2,8,2,1,-,-,-,-,-
S00088976,66,3,35,4,-,14,3,4,1,1,1,-,-,-,-
S00088977,58,3,21,6,2,8,-,16,-,-,2,-,-,-,1
S00088978,54,3,23,3,2,8,3,11,1,-,-,-,1,-,1
S00088979,81,3,50,5,1,10,-,9,-,1,2,-,-,-,-
S00088980,63,5,33,4,-,10,2,3,-,6,-,-,-,-,-
S00088981,55,6,27,3,-,6,3,5,-,5,-,-,-,-,-
S00088982,61,5,34,4,-,5,2,7,-,1,3,-,-,-,-
S00088983,47,5,19,-,3,2,7,1,1,6,3,1,1,1,2
S00088984,48,6,16,2,3,1,14,2,-,4,-,3,-,1,-
S00088985,75,9,43,5,3,5,1,6,1,-,2,1,-,-,-
S00088986,130,8,59,5,3,25,1,27,-,2,-,1,-,-,-
S00088987,63,3,28,6,5,9,-,8,1,3,-,-,-,1,1
S00088988,63,7,29,2,6,3,6,1,-,9,-,5,-,-,2
S00088989,87,11,38,2,1,12,-,20,-,1,2,-,-,-,1
S00088990,103,9,48,12,4,10,1,12,1,4,2,-,1,-,2
S00088991,118,8,56,3,1,25,4,18,-,2,1,-,-,-,-
S00088992,504,3,18,-,4,193,17,264,-,4,1,-,-,-,1
S00088993,101,7,40,6,7,20,-,17,1,1,2,3,-,-,3
S00088994,52,-,25,4,-,8,2,10,1,1,1,-,-,-,-
S00088995,60,4,29,2,1,10,-,14,-,-,-,-,-,-,-
S00088996,83,7,14,-,4,19,13,12,3,8,3,2,-,2,1
S00088997,123,18,53,17,-,9,15,5,4,2,-,-,-,-,-
S00088998,98,6,61,12,1,1,-,5,10,-,2,-,1,-,-
S00088999,99,10,48,11,4,6,14,2,3,-,1,-,1,-,1
S00089000,117,9,80,4,4,8,5,3,1,1,2,2,-,-,1
S00089001,91,12,40,5,1,3,16,5,5,2,2,-,-,-,-
S00089002,97,14,41,12,-,7,9,9,3,1,1,-,-,-,-
S00089003,74,10,49,1,-,8,2,2,1,-,1,-,-,-,-
S00089004,77,8,45,7,-,6,4,2,3,-,2,-,-,-,-
S00089005,103,19,36,9,2,1,21,4,6,1,4,-,2,-,1
S00089006,79,8,46,6,-,-,6,4,7,1,1,-,-,-,-
S00089007,106,11,60,6,-,4,6,15,4,-,-,-,-,-,-
S00089008,72,1,63,2,-,3,-,2,-,-,1,-,-,-,-
S00089009,97,10,71,3,2,2,1,5,-,-,3,2,-,1,-
S00089010,109,11,62,11,2,10,5,4,3,-,1,1,-,1,1
S00089011,145,7,70,12,12,12,5,15,2,2,8,5,2,-,4
S00089012,101,5,59,1,4,13,7,6,4,1,1,4,-,2,-
S00089013,64,8,41,5,1,4,3,2,-,-,-,-,-,-,-
S00089014,110,6,71,6,3,7,1,13,2,1,-,1,-,-,-
S00089015,88,2,63,6,2,8,-,4,2,-,1,-,-,1,-
S00089016,85,6,47,4,-,12,2,6,2,4,2,-,-,-,-
S00089017,81,6,58,6,1,5,-,3,-,-,2,-,-,-,-
S00089018,115,10,52,26,3,5,6,5,3,-,5,-,-,1,-
S00089019,119,5,77,11,3,4,7,7,3,2,-,-,-,-,1
S00089020,73,2,47,6,2,3,4,6,-,2,1,1,-,-,1
S00089021,68,4,37,10,3,1,5,3,3,1,1,1,1,-,2
S00089022,84,4,47,5,4,3,9,3,2,6,1,-,1,-,1
S00089023,81,9,44,3,-,8,10,1,4,-,2,-,-,-,-
S00089024,64,-,39,3,3,12,3,3,-,1,-,1,-,-,1
S00089025,61,1,41,2,1,6,-,7,2,1,-,-,-,-,-
S00089026,66,5,44,4,-,7,4,-,-,1,1,-,-,-,-
S00089027,101,3,74,4,2,9,-,6,-,1,2,-,1,-,1
S00089028,77,8,51,1,8,5,1,-,2,1,-,3,3,-,2
S00089029,78,2,56,6,2,6,1,-,2,2,1,-,1,-,1
S00089030,64,1,56,1,-,1,3,2,-,-,-,-,-,-,-
S00089031,126,11,82,1,1,16,4,7,1,1,2,-,-,-,-
S00089032,71,6,40,11,3,3,1,4,1,2,-,-,-,-,2
S00089033,85,7,47,8,4,6,2,8,1,2,-,1,-,-,-
S00089034,52,1,31,5,-,-,4,8,2,1,-,-,-,-,-
S00089035,93,12,46,3,5,5,4,10,1,5,2,-,1,-,2
S00089036,61,3,38,4,1,4,2,6,1,1,1,-,1,-,1
S00089037,79,3,48,3,2,13,2,4,3,1,-,1,1,-,1
S00089038,56,7,32,3,1,11,-,-,-,1,1,-,-,-,-
S00089039,73,6,38,3,2,9,-,9,-,2,4,-,-,-,-
S00089040,69,16,25,2,8,5,1,3,1,5,3,1,-,-,4
S00089041,138,14,60,4,10,3,25,6,4,8,4,5,1,1,2
S00089042,50,5,20,-,7,2,1,2,4,5,4,4,2,3,1
S00089043,105,20,44,2,9,8,5,3,4,6,4,3,3,1,6
S00089044,58,4,28,3,6,2,2,3,4,3,3,3,-,-,3
S00089045,53,11,17,3,3,-,12,3,2,1,1,2,1,2,1
S00089046,231,20,42,4,1,7,17,2,2,8,128,-,-,-,-
S00089047,88,11,41,8,-,5,16,4,2,1,-,-,-,-,-
S00089048,71,11,26,6,1,4,15,-,3,1,4,-,1,-,1
S00089049,108,18,48,8,5,6,8,4,1,9,1,1,2,-,1
S00089050,76,12,37,1,1,-,16,2,4,1,2,1,-,1,-
S00089051,129,12,76,6,2,8,11,3,3,4,4,-,1,-,-
S00089052,126,23,57,11,7,6,11,3,2,4,2,3,1,1,2
S00089053,92,9,58,1,9,3,-,4,1,6,1,4,2,2,5
S00089054,68,5,43,4,5,5,1,5,-,-,-,1,-,-,2
S00089055,83,8,47,2,4,7,-,5,1,7,2,-,-,-,2
S00089056,69,2,53,5,3,3,2,-,-,1,-,1,-,-,-
S00089057,81,9,32,1,10,6,5,4,2,8,4,3,3,1,1
S00089058,92,6,56,3,3,5,5,3,1,9,1,-,-,-,-
S00089059,54,5,33,3,3,3,-,2,1,2,2,1,1,-,2
S00089060,52,4,32,1,5,4,-,-,3,2,1,-,3,-,2
S00089061,64,5,39,3,2,5,5,2,2,-,1,-,1,-,1
S00089062,46,3,19,1,1,8,4,6,1,3,-,-,-,-,-
S00089063,72,7,38,3,7,11,-,4,1,1,-,2,1,1,2
S00089064,76,6,49,1,6,3,4,1,1,2,3,1,1,-,2
S00089065,87,3,53,-,8,7,-,2,3,7,4,3,-,1,-
S00089066,57,2,31,2,7,5,-,3,-,5,2,3,3,-,1
S00089067,91,8,49,2,8,13,-,5,-,4,2,1,3,-,-
S00089068,64,11,36,4,3,3,2,1,2,-,2,1,-,-,1
S00089069,50,9,21,6,4,3,2,-,3,-,2,2,-,2,1
S00089070,112,8,70,-,5,8,1,6,4,8,2,-,2,1,1
S00089071,67,5,41,2,3,2,7,2,1,3,1,-,1,-,-
S00089072,99,7,62,4,8,6,3,-,-,8,1,3,-,1,3
S00089073,89,8,45,3,10,7,4,3,3,4,2,4,2,-,5
S00089074,118,15,72,4,6,2,5,4,3,2,5,2,1,-,2
S00089075,75,8,48,3,4,3,-,3,-,2,4,1,-,-,1
S00089076,92,11,49,1,7,1,9,-,6,7,1,1,-,1,3
S00089077,78,7,49,2,-,10,3,1,2,3,1,-,-,-,-
S00089078,33,6,13,-,2,1,7,1,-,2,1,2,-,-,-
S00089079,47,3,24,5,-,3,3,1,1,5,2,-,-,-,-
S00089080,68,8,25,1,5,5,3,7,5,8,1,1,1,1,2
S00089081,63,9,28,1,2,-,18,-,-,3,2,1,-,-,-
S00089082,56,7,24,2,-,-,13,-,2,8,-,-,-,-,-
S00089083,92,20,39,4,5,4,9,5,1,4,1,2,1,2,-
S00089084,68,12,27,4,1,2,12,3,6,1,-,1,-,-,-
S00089085,86,16,35,6,3,5,5,1,9,2,4,-,1,-,3
S00089086,80,8,38,4,2,3,6,4,4,8,3,1,-,-,-
S00089087,113,17,46,3,9,8,14,1,4,9,2,2,1,-,5
S00089088,71,7,30,-,5,3,11,3,6,3,3,3,2,-,1
S00089089,89,14,43,3,5,3,10,5,1,1,4,3,-,-,2
S00089090,95,7,40,3,6,7,11,2,6,9,4,3,1,1,2
S00089091,94,18,29,-,7,9,7,5,6,9,4,2,1,2,2
S00089092,102,17,48,1,6,1,2,5,12,7,3,4,-,4,2
S00089093,121,23,49,4,6,3,8,6,6,12,4,2,-,-,2
S00089094,65,11,20,-,4,2,7,4,4,7,6,1,-,-,4
S00089095,85,13,36,4,5,3,6,2,7,6,3,1,1,1,1
S00089096,68,15,27,2,5,3,2,1,4,6,3,2,-,-,2
S00089097,68,4,32,1,6,5,4,3,5,5,3,-,-,2,3
S00089098,59,10,22,4,4,2,2,3,5,4,3,2,-,-,1
S00089099,85,13,39,5,6,5,-,3,3,7,4,2,2,1,4
S00089100,63,14,21,4,3,2,13,1,1,3,1,-,-,-,1
S00089101,61,9,34,3,3,1,3,-,-,5,3,-,1,-,3
S00089102,59,6,27,-,5,8,1,-,4,5,3,2,1,-,3
S00089103,77,6,48,7,2,3,4,4,-,-,3,-,-,-,-
S00089104,63,7,38,4,1,4,3,2,-,3,1,-,-,-,1
S00089105,87,7,56,5,4,3,6,1,1,2,2,-,-,2,1
S00089106,79,7,46,7,2,1,6,2,2,5,1,1,-,1,-
S00089107,65,11,29,4,3,3,10,1,1,1,2,2,-,-,-
S00089108,71,16,39,1,3,-,4,2,-,3,3,1,1,-,1
S00089109,47,7,25,3,2,2,3,1,1,2,1,1,-,-,1
S00089110,99,14,45,1,5,4,17,2,2,7,2,3,-,2,-
S00089111,115,17,64,1,9,1,6,3,6,5,3,3,2,1,3
S00089112,118,15,58,3,9,3,10,-,3,10,7,2,1,-,6
S00089113,36,1,4,-,-,-,24,-,-,5,2,-,-,-,-
S00089114,79,20,25,2,4,1,10,-,8,8,1,2,-,1,1
S00089115,121,12,55,4,9,6,17,2,1,9,6,2,3,2,4
S00089116,130,24,51,4,14,13,-,4,9,5,6,5,-,2,2
S00089117,92,14,29,3,8,-,7,3,9,9,10,3,-,4,2
S00089118,119,15,46,18,3,5,23,2,3,2,2,2,1,-,1
S00089119,72,14,26,5,-,1,24,1,1,-,-,-,-,-,-
S00089120,63,5,31,6,4,-,12,3,1,1,-,1,1,-,-
S00089121,109,12,40,9,5,5,21,5,-,10,2,1,3,-,2
S00089122,45,6,14,3,2,1,4,1,6,8,-,-,2,-,1
S00089123,112,18,44,5,6,3,15,2,5,11,3,4,-,2,2
S00089124,73,12,24,5,3,-,8,3,4,9,5,2,-,2,-
S00089125,122,21,51,4,2,4,16,4,7,8,5,1,-,1,-
S00089126,82,20,25,1,9,1,9,3,4,8,2,3,-,1,1
S00089127,73,6,41,-,2,2,13,1,2,5,1,1,-,-,-
S00089128,74,17,27,5,4,3,5,4,3,4,2,2,2,-,2
S00089129,160,26,84,14,1,7,8,11,6,2,1,-,-,-,-
S00089130,70,10,37,3,2,4,9,-,1,2,2,1,-,1,-
S00089131,79,16,33,1,7,4,11,4,1,2,-,4,-,1,-
S00089132,73,8,46,2,4,1,7,1,-,2,2,-,2,-,1
S00089133,60,11,25,6,-,1,12,-,1,2,2,-,-,-,-
S00089134,100,16,37,7,4,6,22,-,2,4,2,1,2,-,2
S00089135,108,11,42,11,2,2,31,2,6,-,1,-,-,-,-
S00089136,89,9,32,14,3,3,25,1,1,1,-,2,-,2,-
S00089137,91,10,28,7,-,8,28,3,2,4,1,-,-,-,-
S00089138,12,1,1,2,-,-,8,-,-,-,-,-,-,-,-
S00089139,64,6,31,4,-,3,8,2,5,4,1,-,-,-,-
S00089140,77,9,45,4,2,1,9,5,-,2,-,-,-,-,-
S00089141,100,16,51,5,4,5,10,6,-,3,-,2,1,-,3
S00089142,115,18,41,9,4,11,9,5,7,8,3,3,1,1,1
S00089143,77,12,31,2,2,3,10,4,1,9,3,-,-,-,1
S00089144,76,10,31,3,5,3,14,2,2,3,3,1,2,1,2
S00089145,106,16,44,4,2,8,22,1,4,5,-,1,-,-,1
S00089146,82,12,40,5,2,5,8,4,3,3,-,-,1,-,1
S00089147,66,11,26,2,8,2,6,-,9,2,-,2,-,-,3
S00089148,85,8,36,2,3,4,14,3,10,3,2,2,1,1,1
S00089149,90,13,43,5,9,6,2,2,7,3,-,6,-,3,3
S00089150,103,17,32,8,5,5,12,1,2,14,7,2,-,-,2
S00089151,43,7,22,-,1,-,7,-,2,3,1,1,-,-,1
S00089152,48,7,13,3,5,-,10,-,-,8,2,1,3,-,3
S00089153,45,4,19,2,2,1,13,-,1,3,-,-,-,-,-
S00089154,56,10,29,1,1,1,5,-,2,7,-,1,-,-,-
S00089155,66,7,29,4,1,3,16,1,1,2,2,-,1,-,-
S00089156,100,6,34,1,5,3,24,1,4,19,3,1,3,-,4
S00089157,80,11,31,4,3,3,19,1,5,2,1,1,-,-,-
S00089158,98,21,45,3,2,5,13,2,2,4,1,1,-,-,1
S00089159,63,6,36,3,3,-,4,5,-,4,2,1,-,-,-
S00089160,79,8,36,6,6,2,11,4,2,3,1,3,2,2,3
S00089161,77,10,38,1,1,3,14,2,3,5,-,-,1,-,-
S00089162,56,7,25,2,7,2,10,1,1,1,-,1,1,1,3
S00089163,84,11,42,3,4,2,9,5,4,4,-,3,-,-,3
S00089164,53,12,22,2,-,3,9,-,-,5,-,-,-,-,-
S00089165,73,17,33,5,-,1,8,3,4,2,-,-,-,-,-
S00089166,98,20,42,4,4,7,11,1,4,2,3,1,1,-,1
S00089167,85,7,49,5,2,3,10,1,-,4,4,1,-,-,-
S00089168,13,-,-,-,1,-,10,-,-,2,-,-,1,-,1
S00089169,85,18,32,5,3,3,13,4,3,1,3,-,-,-,2
S00089170,58,6,32,2,3,1,7,-,4,2,1,-,-,-,-
S00089171,52,7,24,1,3,-,12,2,-,2,1,1,-,-,2
S00089172,45,2,23,4,3,-,7,-,2,4,-,-,-,-,1
S00089173,105,16,56,4,5,5,9,2,4,2,2,1,-,-,3
S00089174,117,14,51,4,5,3,21,1,4,9,5,-,1,-,3
S00089175,96,17,37,2,6,5,12,5,3,7,2,1,-,-,3
S00089176,83,16,46,1,2,2,5,3,4,2,2,1,-,-,1
S00089177,92,13,51,6,1,1,7,1,2,9,1,-,1,-,1
S00089178,101,13,52,7,1,2,18,2,1,5,-,-,-,-,1
S00089179,125,18,61,8,4,3,19,2,7,2,1,1,-,-,4
S00089180,111,16,52,9,5,2,18,3,2,1,3,1,1,1,2
S00089181,71,6,43,-,-,1,13,2,4,1,1,-,-,-,-
S00089182,90,14,47,4,5,3,7,4,2,1,3,-,1,1,-
S00089183,77,11,30,4,4,3,11,6,3,4,1,3,-,1,-
S00089184,96,12,38,12,-,11,8,8,6,-,1,-,-,-,-
S00089185,100,13,40,8,4,3,19,6,4,-,3,-,1,-,2
S00089186,85,11,42,15,2,1,3,7,3,-,1,-,1,-,-
S00089187,55,6,29,7,5,-,1,1,3,-,3,1,1,-,3
S00089188,117,14,54,12,3,2,18,8,4,-,2,1,-,-,-
S00089189,112,10,58,11,3,4,16,2,4,-,4,-,-,-,-
S00089190,97,6,56,12,1,4,7,5,5,-,1,1,-,-,-
S00089191,117,10,72,13,-,3,7,8,3,1,-,-,-,-,-
S00089192,96,5,64,11,3,2,2,5,4,-,-,1,1,-,-
S00089193,120,7,80,10,1,2,5,8,7,-,-,1,-,-,1
S00089194,103,13,41,8,2,3,17,8,7,3,1,-,1,-,2
S00089195,101,12,36,10,4,2,15,7,11,1,3,2,-,1,-
S00089196,89,7,39,14,2,1,14,5,7,-,-,-,1,-,2
S00089197,90,12,36,12,1,3,16,3,5,-,2,-,-,-,1
S00089198,66,7,35,9,-,2,8,-,4,-,1,-,-,-,-
S00089199,70,8,20,18,3,4,4,5,2,4,2,1,-,-,2
S00089200,48,5,24,3,-,3,9,1,3,-,-,-,-,-,-
S00089201,69,7,23,10,2,5,8,6,7,-,1,1,-,-,-
S00089202,118,14,64,13,-,4,14,4,3,-,2,-,-,-,-
S00089203,165,12,79,10,10,9,15,9,9,9,3,4,1,1,6
S00089204,101,13,49,10,2,10,4,5,5,1,2,1,-,-,-
S00089205,93,9,46,14,2,8,10,2,1,1,-,-,-,-,1
S00089206,86,9,37,9,-,6,12,6,3,3,1,-,-,-,-
S00089207,73,6,37,4,3,5,7,3,7,1,-,1,1,1,1
S00089208,69,5,42,6,2,6,-,6,-,2,-,1,-,-,-
S00089209,66,3,43,6,1,3,5,3,1,1,-,-,-,-,1
S00089210,73,6,40,2,1,11,1,11,-,1,-,-,-,-,1
S00089211,67,6,37,3,4,10,1,4,-,1,1,1,1,1,2
S00089212,99,3,54,5,2,13,2,14,2,2,2,1,-,1,-
S00089213,63,3,40,2,-,7,1,7,2,-,1,-,-,-,-
S00089214,60,4,41,-,2,5,2,4,-,-,2,2,-,-,2
S00089215,56,2,28,5,4,4,1,11,-,1,-,3,-,1,-
S00089216,93,5,52,1,6,9,3,8,1,2,6,1,1,1,-
S00089217,71,6,43,-,1,8,1,4,1,2,5,-,-,-,-
S00089218,117,5,69,2,6,11,1,12,2,7,2,2,1,-,2
S00089219,76,3,49,-,-,9,2,10,2,1,-,-,-,-,-
S00089220,59,3,32,4,4,5,2,6,1,-,2,-,2,1,2
S00089221,133,12,73,6,5,11,9,6,1,7,3,3,-,1,-
S00089222,80,4,61,5,2,3,-,4,-,1,-,1,-,-,1
S00089223,60,4,36,2,1,4,4,6,-,1,2,-,-,-,-
S00089224,120,18,60,4,3,6,17,5,3,-,4,2,-,-,2
S00089225,55,4,36,1,2,8,1,1,-,1,1,-,1,-,1
S00089226,52,6,36,3,-,3,2,1,1,-,-,-,-,-,-
S00089227,118,12,70,4,3,9,4,10,2,3,1,1,1,-,2
S00089228,70,14,37,10,-,2,1,3,-,1,2,-,-,-,-
S00089229,79,8,44,7,-,7,7,1,5,-,-,-,-,-,-
S00089230,85,5,46,4,2,7,9,2,1,7,2,-,-,-,1
S00089231,79,7,54,2,2,4,3,5,2,-,-,-,-,-,-
S00089232,73,5,42,11,1,3,3,4,3,-,1,-,-,-,1
S00089233,63,8,28,9,-,1,7,3,6,-,1,-,-,-,-
S00089234,74,10,32,10,2,3,8,2,5,1,1,-,1,-,1
S00089235,98,2,64,4,7,10,5,5,1,-,-,1,3,-,5
S00089236,77,4,58,1,1,2,4,3,1,1,2,1,-,-,-
S00089237,88,9,52,6,-,-,15,5,1,-,-,-,-,-,-
S00089238,109,16,40,9,1,5,30,3,4,1,-,1,-,-,-
S00089239,79,7,40,9,-,3,10,5,5,-,-,-,-,-,-
S00089240,133,22,64,8,1,6,22,5,2,-,3,-,-,-,1
S00089241,42,7,17,5,-,-,8,1,2,1,1,-,-,-,-
S00089242,94,13,41,8,5,7,13,4,3,-,-,1,3,-,1
S00089243,89,14,37,4,-,5,18,5,5,-,1,-,-,-,-
S00089244,80,12,43,3,1,1,15,-,4,1,-,-,-,-,-
S00089245,64,7,32,5,1,1,16,-,1,-,1,-,1,-,-
S00089246,70,9,24,4,1,6,19,5,-,-,2,-,-,-,1
S00089247,120,13,51,13,-,5,26,4,8,-,-,-,-,-,-
S00089248,167,18,79,15,3,12,10,17,3,9,1,1,1,-,2
S00089249,81,9,40,10,-,1,13,4,3,1,-,-,-,-,-
S00089250,66,5,36,13,-,3,3,1,4,1,-,-,-,-,-
S00089251,81,10,32,12,1,8,9,6,3,-,-,-,-,-,1
S00089252,83,6,42,11,-,-,10,6,6,-,2,-,-,-,-
S00089253,93,13,39,12,3,4,10,8,2,1,1,-,-,-,1
S00089254,99,11,47,8,-,3,17,3,10,-,-,-,-,-,-
S00089255,100,12,55,5,1,5,13,4,3,1,1,1,-,1,-
S00089256,82,9,38,12,3,3,8,1,6,1,1,1,1,1,-
S00089257,80,10,41,8,-,9,8,1,2,-,1,-,-,-,-
S00089258,85,3,48,4,2,5,9,9,4,1,-,-,-,-,2
S00089259,66,10,37,6,-,4,4,1,4,-,-,-,-,-,-
S00089260,100,11,60,11,2,3,6,-,6,1,-,-,1,-,1
S00089261,127,13,66,14,6,7,10,6,3,1,1,1,1,-,4
S00089262,91,8,48,4,2,8,8,11,1,1,-,-,-,-,-
S00089263,87,5,58,5,5,4,1,3,1,4,1,-,1,-,2
S00089264,119,11,77,7,-,7,9,6,2,-,-,-,-,-,-
S00089265,80,5,51,1,3,11,-,7,-,1,1,-,2,1,1
S00089266,85,9,58,4,3,4,5,1,1,-,-,-,-,-,-
S00089267,79,5,39,4,4,12,3,12,-,-,-,-,2,-,1
S00089268,100,3,74,4,2,3,2,6,5,1,-,1,-,-,1
S00089269,88,4,63,5,5,5,3,2,-,-,1,1,1,-,2
S00089270,109,8,73,6,-,8,7,1,3,-,3,-,-,-,-
S00089271,66,6,35,5,-,5,8,1,4,-,2,-,-,-,-
S00089272,54,7,24,7,-,3,9,-,4,-,-,-,-,-,-
S00089273,92,7,64,2,-,7,5,6,-,1,-,-,-,-,-
S00089274,115,9,71,10,2,6,6,6,3,-,2,-,-,-,1
S00089275,19,1,1,-,-,-,15,-,-,1,1,-,-,-,-
S00089276,56,7,28,4,2,3,4,4,-,3,1,1,-,-,1
S00089277,126,13,62,17,4,5,14,4,5,1,1,2,1,-,2
S00089278,20,-,2,-,-,-,17,-,-,1,-,-,-,-,-
S00089279,53,10,29,4,1,3,2,1,1,-,2,1,-,1,-
S00089280,44,7,21,3,-,3,9,-,1,-,-,-,-,-,-
S00089281,67,5,41,5,2,6,3,3,1,-,1,-,-,1,1
S00089282,45,11,23,5,1,-,2,-,1,2,-,-,-,-,1
S00089283,44,3,25,2,-,6,6,2,-,-,-,-,-,-,-
S00089284,85,13,35,6,2,2,24,1,1,-,1,2,-,-,2
S00089285,116,8,76,5,1,5,12,4,4,1,-,-,1,-,-
S00089286,99,10,49,2,5,16,2,11,3,-,1,-,-,-,-
S00089287,50,6,8,3,-,-,32,-,-,1,-,-,-,-,-
S00089288,124,8,22,2,2,28,18,34,3,7,-,1,-,1,1
S00089289,92,15,38,5,2,6,10,2,5,6,3,-,1,-,-
S00089290,50,6,23,4,1,5,5,2,1,2,1,1,-,1,-
S00089291,69,12,33,4,3,2,10,2,2,1,-,2,-,1,1
S00089292,69,13,27,1,4,4,9,7,2,-,2,-,1,-,2
S00089293,126,19,60,6,5,11,2,15,2,4,2,2,2,2,1
S00089294,123,20,55,5,1,19,5,14,3,1,-,-,-,-,-
S00089295,133,16,57,4,3,3,19,16,6,8,1,-,-,-,2
S00089296,125,16,42,8,4,8,20,13,4,10,-,1,1,-,3
S00089297,66,6,22,5,6,2,5,5,6,8,1,1,2,1,2
S00089298,81,8,33,2,2,8,10,11,1,6,-,-,1,-,-
S00089299,36,5,14,-,2,3,8,1,-,2,1,-,1,-,2
S00089300,76,16,29,-,1,7,14,6,1,2,-,-,1,-,1
S00089301,87,14,31,7,4,1,14,7,5,3,1,3,-,2,1
S00089302,83,15,32,3,4,7,16,3,1,1,1,1,1,-,1
S00089303,146,23,46,2,6,22,17,15,4,9,2,3,-,1,4
S00089304,121,20,40,-,9,12,16,11,5,4,4,4,1,1,1
S00089305,53,6,19,-,-,3,14,4,1,5,1,-,-,-,-
S00089306,93,8,29,-,1,11,15,10,5,11,3,1,-,1,-
S00089307,68,5,24,5,4,3,9,6,3,7,2,-,-,-,2
S00089308,51,9,16,3,3,4,7,3,4,2,-,2,-,1,1
S00089309,115,19,43,6,6,16,12,5,4,2,2,3,-,2,3
S00089310,133,16,44,-,7,17,19,14,4,8,4,3,-,2,1
S00089311,79,15,41,1,2,1,10,2,1,3,3,1,-,-,-
S00089312,120,13,59,5,4,13,13,7,6,-,-,1,1,-,-
S00089313,99,15,43,4,1,3,22,4,4,3,-,-,1,-,-
S00089314,111,12,74,1,-,8,7,5,-,2,2,-,-,-,-
S00089315,79,6,40,5,-,3,13,5,5,1,1,-,-,-,-
S00089316,75,9,37,7,1,2,7,4,3,3,2,-,-,-,-
S00089317,69,10,37,4,1,-,12,1,3,1,-,-,-,-,1
S00089318,71,10,37,6,3,3,4,2,3,1,2,1,1,1,-
S00089319,103,14,43,11,2,3,24,2,2,1,1,2,-,-,-
S00089320,89,17,51,3,-,4,7,5,1,-,1,-,-,-,-
S00089321,59,8,19,5,1,2,19,2,3,-,-,-,-,-,1
S00089322,84,12,39,6,3,3,17,-,4,-,-,2,-,1,1
S00089323,52,6,23,6,2,2,10,2,1,-,-,-,1,-,-
S00089324,53,9,23,3,-,1,12,2,2,1,-,-,-,-,-
S00089325,74,10,36,5,2,-,15,3,3,-,-,-,-,-,1
S00089326,87,8,39,9,-,3,19,2,6,-,1,-,-,-,-
S00089327,74,9,31,7,1,6,15,-,5,-,-,-,-,-,1
S00089328,76,13,24,4,-,3,30,-,2,-,-,-,-,-,-
S00089329,71,15,19,8,1,4,19,3,2,-,-,-,-,-,-
S00089330,107,15,38,15,1,1,20,3,11,3,-,-,1,-,1
S00089331,112,16,47,7,1,3,31,3,3,1,-,-,1,-,1
S00089332,129,21,62,11,2,4,24,-,4,-,1,1,-,1,-
S00089333,122,23,52,10,2,3,22,3,4,1,2,1,-,2,-
S00089334,107,17,43,10,2,2,23,4,4,-,2,-,2,-,-
S00089335,104,9,58,12,2,4,13,1,4,-,1,-,1,-,2
S00089336,66,6,38,6,-,2,12,-,1,-,1,-,-,-,-
S00089337,43,3,24,2,-,1,6,3,1,1,2,-,-,-,-
S00089338,102,15,50,9,3,2,15,1,5,2,-,-,1,-,-
S00089339,101,14,44,6,3,4,22,-,5,-,3,2,1,-,1
S00089340,72,9,32,6,1,-,18,1,2,3,-,-,1,-,1
S00089341,56,8,23,7,-,1,13,-,1,3,-,-,-,-,-
S00089342,15,-,3,4,-,-,8,-,-,-,-,-,-,-,-
S00089343,57,4,38,3,2,1,2,6,-,-,1,-,1,-,2
S00089344,49,5,22,4,1,2,5,2,-,5,3,-,-,-,1
S00089345,77,10,47,1,1,4,9,-,2,2,1,-,-,-,-
S00089346,112,14,53,13,-,3,23,4,2,-,-,-,-,-,-
