,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00092510,134,9,10,5,6,1,3,3,6,5,33,36,7,8,1,-,1,36.1,39
S00092511,140,12,2,2,3,-,2,6,6,17,37,37,5,6,5,-,-,37.4,37
S00092512,210,30,8,8,22,3,5,4,10,23,54,38,2,3,-,-,-,27.1,28
S00092513,211,5,4,2,6,2,3,3,8,9,16,68,11,20,28,12,14,54.0,56
S00092514,132,8,4,2,10,1,2,2,3,5,31,25,6,20,12,1,-,43.5,43
S00092515,51,-,2,1,4,-,-,2,-,1,10,11,11,4,4,-,1,48.1,51
S00092516,109,2,4,2,3,1,2,2,5,2,17,22,15,19,10,1,2,50.3,56
S00092517,132,13,3,1,7,2,2,3,2,7,34,27,10,8,10,3,-,40.2,41
S00092518,132,21,4,4,8,-,4,2,1,6,37,26,9,5,3,2,-,34.1,36
S00092519,187,17,7,5,13,2,1,3,11,6,52,43,9,16,1,1,-,36.3,38
S00092520,137,9,7,8,11,1,2,2,3,3,27,41,10,11,2,-,-,37.8,43
S00092521,137,5,10,7,15,-,2,2,6,4,35,27,10,9,4,1,-,36.3,39
S00092522,178,9,10,7,6,2,3,1,6,12,34,49,17,20,2,-,-,40.0,44
S00092523,70,9,1,2,2,-,1,1,2,8,21,18,3,1,-,1,-,34.3,35
S00092524,199,16,5,6,14,4,6,3,12,11,44,49,12,14,2,1,-,36.0,37
S00092525,69,6,2,1,5,2,1,3,3,2,12,24,2,4,2,-,-,37.4,43
S00092526,107,19,2,2,4,1,3,-,-,8,38,14,7,6,3,-,-,33.8,36
S00092527,110,16,2,4,6,1,2,1,6,13,39,19,1,-,-,-,-,28.8,31
S00092528,143,3,2,3,10,2,8,3,8,6,18,55,9,9,7,-,-,42.0,48
S00092529,142,4,6,3,4,-,6,2,8,6,35,42,15,8,1,1,1,41.2,44
S00092530,109,1,6,4,7,-,1,-,2,7,23,31,10,11,5,1,-,43.6,47
S00092531,98,4,5,1,6,1,4,2,3,3,21,24,7,9,7,-,1,41.9,43
S00092532,139,6,3,6,9,4,7,6,2,1,25,41,10,15,3,1,-,40.1,45
S00092533,112,6,4,2,3,1,1,3,11,4,27,33,5,4,3,4,1,40.6,43
S00092534,168,10,7,2,14,2,5,3,8,4,46,43,10,8,4,2,-,37.8,41
S00092535,75,5,3,2,3,-,3,2,4,2,11,29,2,4,3,2,-,40.4,45
S00092536,96,2,3,2,6,-,1,2,9,3,19,24,13,9,1,1,1,42.4,46
S00092537,62,-,1,-,7,-,3,-,5,6,2,27,5,5,1,-,-,42.0,49
S00092538,188,13,9,4,11,-,2,5,9,10,48,43,11,10,11,2,-,38.3,38
S00092539,83,1,1,1,10,-,-,1,8,2,18,26,4,5,4,2,-,42.5,44
S00092540,137,14,6,-,6,4,5,2,2,4,36,38,7,8,5,-,-,37.9,42
S00092541,130,8,5,3,10,4,4,7,11,3,19,37,4,5,6,3,1,36.6,39
S00092542,114,6,3,1,11,6,3,1,6,7,22,24,2,9,10,3,-,39.7,39
S00092543,198,9,5,6,7,4,7,8,8,4,27,71,22,18,2,-,-,41.7,48
S00092544,88,2,3,2,3,-,1,2,3,6,14,20,16,11,5,-,-,46.5,53
S00092545,110,7,-,2,4,2,1,3,3,5,27,30,5,14,6,1,-,43.3,46
S00092546,64,6,1,1,2,-,4,1,3,3,13,17,2,5,6,-,-,39.8,44
S00092547,115,7,5,-,2,-,1,-,10,5,19,33,12,15,4,1,1,44.5,48
S00092548,65,1,1,2,-,-,1,2,3,6,8,13,11,9,6,2,-,50.6,55
S00092549,125,4,1,3,13,-,5,5,2,3,36,21,7,14,9,1,1,41.7,41
S00092550,253,39,21,12,10,-,7,5,7,11,98,30,10,3,-,-,-,28.0,32
S00092551,211,30,9,9,16,1,9,5,3,13,78,21,10,6,1,-,-,29.1,32
S00092552,222,43,11,4,11,4,3,6,8,21,79,32,-,-,-,-,-,25.8,30
S00092553,165,19,8,5,17,4,2,2,5,3,55,35,4,6,-,-,-,31.2,37
S00092554,189,23,6,4,21,2,7,6,4,2,64,36,6,7,1,-,-,31.4,36
S00092555,192,39,15,7,14,1,5,-,2,8,66,31,3,1,-,-,-,25.9,32
S00092556,122,13,11,1,11,3,2,3,7,13,46,9,2,1,-,-,-,26.2,29
S00092557,181,16,6,1,16,3,7,3,6,13,53,44,4,6,3,-,-,33.0,33
S00092558,230,31,22,8,19,2,4,7,6,4,81,36,5,4,1,-,-,28.0,33
S00092559,178,17,12,7,18,1,6,3,4,10,67,26,1,2,4,-,-,29.4,33
S00092560,145,2,5,6,15,4,6,8,8,6,36,36,6,6,1,-,-,34.1,37
S00092561,93,1,4,3,12,1,2,2,6,3,16,24,6,8,3,1,1,39.8,41
S00092562,184,14,9,3,9,2,3,2,13,19,47,32,5,17,6,-,3,36.8,36
S00092563,164,12,13,3,10,2,2,4,8,10,33,42,8,6,11,-,-,37.0,39
S00092564,91,5,5,5,9,1,3,-,6,3,20,24,2,6,2,-,-,34.6,37
S00092565,167,12,5,5,17,2,6,2,9,11,56,29,7,5,1,-,-,32.1,34
S00092566,106,6,3,2,7,3,1,1,4,4,19,22,8,15,7,4,-,44.3,46
S00092567,166,15,14,8,23,3,4,4,4,8,61,22,-,-,-,-,-,26.6,30
S00092568,125,11,5,2,11,4,7,1,5,12,40,16,8,2,1,-,-,30.9,32
S00092569,201,23,12,8,19,2,9,5,6,9,58,41,4,4,1,-,-,29.4,32
S00092570,153,8,6,5,19,2,10,4,12,6,43,29,4,4,1,-,-,30.5,32
S00092571,95,4,2,1,6,1,4,2,5,5,9,36,11,6,1,1,1,42.5,50
S00092572,81,2,3,4,6,1,-,1,3,4,10,26,3,11,1,5,1,44.4,48
S00092573,196,14,13,6,13,3,5,1,7,4,35,53,8,22,11,1,-,39.1,43
S00092574,137,1,6,4,6,4,2,1,12,9,24,37,11,11,7,-,2,42.2,44
S00092575,163,7,4,8,11,4,2,3,7,5,38,49,7,8,7,2,1,39.6,43
S00092576,102,5,7,4,7,1,1,1,3,8,23,23,7,7,3,1,1,38.7,40
S00092577,110,9,3,2,6,2,-,4,8,4,15,27,12,11,6,-,1,41.2,46
S00092578,124,11,6,3,15,3,3,3,3,2,30,20,6,8,7,4,-,36.8,40
S00092579,108,5,3,1,10,2,5,1,3,2,14,28,17,10,7,-,-,43.7,48
S00092580,147,6,4,5,11,5,6,1,6,1,24,30,14,19,11,3,1,43.5,45
S00092581,140,6,4,5,8,1,4,2,1,2,18,20,10,21,28,8,2,51.5,59
S00092582,56,-,-,-,-,-,-,-,-,-,-,-,5,7,23,13,8,81.1,83
S00092583,166,3,-,1,4,1,2,-,3,2,9,16,3,21,54,31,16,69.7,79
S00092584,71,6,-,-,9,-,4,-,-,-,7,26,6,9,3,-,1,44.1,47
S00092585,172,8,8,4,7,5,5,2,9,7,29,39,20,17,9,1,2,42.5,47
S00092586,164,10,9,4,11,2,4,3,6,5,30,44,13,12,7,3,1,40.6,44
S00092587,129,5,3,2,8,1,5,3,6,1,28,32,14,14,5,1,1,43.7,48
S00092588,133,6,3,4,5,1,2,5,4,10,16,37,16,16,7,-,1,44.6,49
S00092589,137,2,2,2,9,1,-,2,10,6,20,33,14,20,13,2,1,48.7,52
S00092590,96,3,2,3,5,2,4,1,2,5,10,32,10,8,6,3,-,45.1,48
S00092591,93,7,3,2,7,-,1,2,1,4,31,17,3,11,4,-,-,39.4,42
S00092592,177,6,9,2,18,3,6,2,6,9,30,37,17,23,6,3,-,41.0,44
S00092593,113,6,8,3,6,-,-,2,3,7,22,20,7,18,7,2,2,43.3,43
S00092594,121,6,5,4,4,-,4,1,3,4,23,28,5,20,13,1,-,46.1,49
S00092595,103,3,6,4,2,3,2,2,6,5,27,19,6,13,5,-,-,40.2,41
S00092596,252,10,5,4,9,1,3,1,10,9,30,44,12,27,44,18,25,56.3,60
S00092597,109,10,2,2,5,2,5,2,5,6,23,23,12,8,2,1,1,39.0,40
S00092598,115,9,6,2,4,1,1,2,3,7,32,14,6,12,10,5,1,42.3,42
S00092599,129,10,6,4,9,2,3,5,8,3,34,25,5,6,6,3,-,35.6,36
S00092600,109,2,2,2,7,-,4,5,8,4,20,25,7,17,5,1,-,43.5,46
S00092601,106,9,6,2,11,-,3,3,2,5,23,21,7,8,3,1,2,37.2,40
S00092602,131,9,8,-,15,3,6,8,6,-,28,33,8,6,1,-,-,33.6,38
S00092603,152,17,6,3,7,1,4,3,3,5,36,41,9,9,7,1,-,38.1,42
S00092604,176,8,8,3,14,4,10,10,13,5,30,57,8,6,-,-,-,34.2,40
S00092605,106,7,4,3,6,2,1,2,5,6,25,21,11,8,2,3,-,39.0,38
S00092606,107,5,4,1,7,4,4,4,6,2,12,26,8,18,4,1,1,42.6,47
S00092607,93,6,-,-,6,1,2,3,2,3,14,27,7,11,7,3,1,46.9,49
S00092608,106,10,7,3,2,3,1,1,9,1,25,24,9,9,2,-,-,36.7,40
S00092609,171,9,3,5,8,-,4,6,13,18,28,50,8,16,3,-,-,38.5,39
S00092610,199,12,6,3,9,1,5,7,12,8,37,56,17,25,1,-,-,40.7,44
S00092611,130,7,4,2,7,1,2,2,2,1,18,29,11,7,9,15,13,52.9,54
S00092612,167,5,8,5,6,1,2,1,15,10,24,50,18,17,5,-,-,42.2,46
S00092613,83,8,4,2,3,3,1,-,8,7,22,11,5,5,2,1,1,34.5,34
S00092614,93,7,4,2,9,2,3,3,6,7,17,18,5,4,2,2,2,35.3,36
S00092615,72,1,1,1,2,1,3,4,7,3,9,23,7,8,1,1,-,42.9,47
S00092616,141,5,5,1,2,2,3,3,8,3,14,35,17,19,21,3,-,50.0,53
S00092617,95,4,2,-,7,1,9,3,12,7,23,16,5,6,-,-,-,33.6,31
S00092618,159,8,3,2,14,6,8,7,15,10,38,39,4,4,1,-,-,32.7,33
S00092619,177,12,8,6,19,1,5,5,8,5,45,38,9,9,5,2,-,35.5,39
S00092620,156,1,2,4,4,2,2,-,2,-,11,23,7,27,47,15,9,64.3,72
S00092621,218,10,14,7,19,5,6,11,13,6,39,72,6,7,3,-,-,34.1,38
S00092622,70,3,-,-,2,1,1,-,6,5,20,13,2,4,7,6,-,46.3,43
S00092623,95,2,1,2,7,3,2,1,5,9,15,24,5,10,5,3,1,43.0,45
S00092624,155,12,14,8,12,1,4,6,5,2,57,23,3,8,-,-,-,30.3,34
S00092625,170,10,9,5,8,-,3,5,11,4,30,39,22,20,2,1,1,40.8,45
S00092626,80,2,2,2,1,-,3,-,1,-,16,16,4,23,10,-,-,52.1,56
S00092627,107,8,4,2,4,1,1,1,5,3,21,23,5,10,14,3,2,45.9,50
S00092628,67,3,6,5,9,-,-,-,5,2,18,13,2,3,1,-,-,31.7,33
S00092629,205,19,10,3,8,-,2,4,4,11,62,40,17,18,5,1,1,39.0,40
S00092630,66,3,3,2,2,-,2,4,10,2,11,21,2,2,2,-,-,35.5,37
S00092631,191,12,7,4,12,7,5,3,6,16,30,47,18,21,3,-,-,38.5,41
S00092632,111,4,5,2,8,1,6,6,17,9,21,29,-,-,3,-,-,31.5,28
S00092633,99,7,5,2,4,2,4,1,3,2,10,17,10,10,15,6,1,47.6,49
S00092634,120,6,6,2,10,3,7,1,8,3,25,17,5,8,9,8,2,40.8,40
S00092635,159,8,2,4,5,-,3,3,8,8,24,33,8,27,22,4,-,48.7,52
S00092636,119,3,-,2,2,-,3,1,1,1,9,29,8,25,29,3,3,60.1,65
S00092637,156,25,8,3,8,1,2,4,1,10,58,21,8,4,3,-,-,30.9,34
S00092638,146,20,11,2,16,3,5,5,3,3,46,26,1,4,1,-,-,28.5,33
S00092639,135,9,9,7,19,3,6,1,9,1,35,33,3,-,-,-,-,30.1,38
S00092640,167,25,8,4,9,1,5,3,1,11,66,24,5,5,-,-,-,29.3,33
S00092641,138,5,2,2,8,-,7,3,5,5,26,44,12,9,6,2,2,43.5,47
S00092642,176,6,6,5,8,1,5,2,8,10,37,45,15,14,10,2,2,42.7,45
S00092643,62,3,2,2,4,-,2,-,4,2,9,18,2,12,2,-,-,42.9,47
S00092644,104,5,1,2,6,2,1,3,7,6,21,27,6,8,8,-,1,41.4,44
S00092645,83,1,8,3,2,3,1,3,4,5,21,9,2,16,4,1,-,39.8,39
S00092646,116,8,5,3,9,1,1,3,5,1,22,33,9,8,7,1,-,40.1,45
S00092647,199,8,5,3,19,9,12,1,8,7,27,64,16,12,6,2,-,39.0,45
S00092648,141,9,3,2,11,-,6,1,8,4,22,43,14,15,3,-,-,41.5,46
S00092649,150,7,5,2,9,4,8,4,17,5,28,39,1,10,7,4,-,37.5,37
S00092650,206,10,7,8,18,3,6,3,9,5,31,59,16,21,9,1,-,40.8,45
S00092651,120,11,5,2,2,-,4,2,5,3,16,36,10,11,12,1,-,44.5,52
S00092652,69,4,4,-,4,-,1,-,3,-,17,20,7,6,2,1,-,42.3,45
S00092653,130,8,2,3,3,-,3,3,3,10,29,34,7,17,6,1,1,43.2,45
S00092654,124,2,3,-,9,-,3,5,8,3,16,43,8,19,5,-,-,44.7,48
S00092655,134,6,3,1,4,3,7,5,11,4,15,42,8,12,13,-,-,43.4,47
S00092656,112,6,4,4,10,5,8,3,9,1,28,30,3,1,-,-,-,31.6,36
S00092657,185,4,4,5,17,4,6,6,13,4,32,56,8,16,9,1,-,39.9,43
S00092658,89,7,8,2,4,2,5,2,6,-,22,22,4,5,-,-,-,32.7,35
S00092659,182,11,4,3,7,1,4,4,15,15,31,49,15,14,9,-,-,40.7,43
S00092660,101,1,4,1,4,-,3,3,4,3,10,31,7,23,6,-,1,48.5,51
S00092661,117,9,7,-,7,-,4,3,10,9,29,26,5,7,1,-,-,34.5,35
S00092662,78,3,1,1,2,1,3,4,4,6,13,29,8,2,1,-,-,40.5,46
S00092663,112,11,5,5,9,-,1,5,9,6,31,23,2,3,2,-,-,30.9,32
S00092664,144,8,5,2,5,2,6,-,3,2,17,29,23,31,9,2,-,48.1,55
S00092665,71,1,3,3,5,4,1,-,2,-,8,13,8,7,13,1,2,48.8,52
S00092666,135,3,3,2,7,2,2,2,9,13,26,26,9,14,14,3,-,44.9,44
S00092667,90,4,2,-,2,1,2,-,6,3,10,21,18,13,5,2,1,49.6,55
S00092668,99,6,4,-,6,1,5,1,8,5,16,25,4,11,7,-,-,40.0,42
S00092669,174,25,11,5,12,3,4,2,3,17,55,23,3,5,4,1,1,29.5,31
S00092670,81,4,3,1,2,1,4,1,3,4,16,20,7,9,4,1,1,43.3,46
S00092671,120,7,2,4,13,1,5,5,8,6,28,25,5,9,2,-,-,35.2,37
S00092672,132,6,1,3,5,2,1,1,6,2,22,26,16,22,16,2,1,50.1,55
S00092673,81,5,5,3,12,4,4,1,4,1,14,13,8,5,2,-,-,33.1,34
S00092674,146,20,4,3,5,1,2,2,2,3,52,21,9,12,8,2,-,37.7,38
S00092675,168,7,6,2,8,1,10,4,12,9,39,39,9,16,5,-,1,39.5,42
S00092676,89,4,8,3,2,-,4,2,3,1,13,24,3,13,6,2,1,43.6,49
S00092677,98,7,4,1,3,2,2,-,7,7,18,20,9,11,6,-,1,41.6,41
S00092678,136,9,5,5,12,3,8,2,4,3,29,23,11,10,10,1,1,38.6,40
S00092679,84,7,1,1,3,-,-,1,3,7,18,18,5,14,5,-,1,44.1,45
S00092680,194,6,5,7,20,3,9,4,15,10,29,43,11,17,10,3,2,39.0,39
S00092681,97,12,5,3,10,1,2,-,2,4,25,12,6,8,6,1,-,35.8,38
S00092682,103,6,3,1,4,-,5,1,7,7,18,18,6,8,14,3,2,44.7,44
S00092683,138,5,-,1,2,2,4,3,7,7,23,37,18,19,10,-,-,47.3,52
S00092684,85,3,3,2,8,-,3,2,2,5,22,31,4,-,-,-,-,37.1,43
S00092685,87,4,1,2,3,-,-,5,9,1,13,24,2,11,8,4,-,45.9,48
S00092686,128,7,3,4,5,-,1,2,3,11,19,33,2,15,16,6,1,47.5,50
S00092687,156,11,2,2,3,1,3,5,5,5,20,37,6,18,22,14,2,50.8,53
S00092688,83,3,2,2,7,-,-,2,4,3,19,20,10,7,4,-,-,41.5,44
S00092689,250,26,13,5,16,1,12,8,18,7,70,56,7,9,1,1,-,31.9,36
S00092690,244,13,17,8,26,3,10,5,8,11,60,57,10,8,6,-,2,33.7,37
S00092691,132,11,4,4,9,1,5,3,11,3,37,18,7,10,6,3,-,36.3,37
S00092692,57,1,2,-,1,1,-,-,2,1,9,3,7,11,11,4,4,60.2,65
S00092693,119,8,6,2,8,1,3,3,3,10,37,28,6,3,1,-,-,34.3,35
S00092694,153,3,1,6,17,4,3,2,11,6,29,28,7,18,12,5,1,42.8,42
S00092695,59,1,2,-,4,-,1,2,1,3,7,16,5,13,2,1,1,49.1,52
S00092696,127,8,8,7,6,-,1,3,3,7,52,20,1,8,3,-,-,34.4,35
S00092697,120,2,4,4,4,1,3,4,3,6,23,27,16,20,3,-,-,44.6,49
S00092698,147,11,4,2,12,-,2,3,4,14,31,33,8,10,12,-,1,39.7,38
S00092699,136,8,4,3,5,-,3,2,9,13,29,38,8,9,4,-,1,39.2,42
S00092700,88,1,-,2,4,1,4,2,2,1,5,28,13,16,7,2,-,51.9,58
S00092701,118,3,-,-,5,2,2,2,5,8,15,31,14,21,10,-,-,49.2,54
S00092702,108,4,2,3,10,-,2,2,6,4,23,26,12,10,4,-,-,41.5,44
S00092703,160,8,3,-,8,2,1,2,5,9,24,46,18,13,17,3,1,47.2,51
S00092704,158,16,3,8,14,1,5,1,3,4,43,28,7,16,6,2,1,37.7,39
S00092705,110,6,3,-,5,2,2,2,8,13,17,19,7,11,11,4,-,43.6,42
S00092706,160,13,6,6,5,3,4,3,9,6,30,39,8,13,8,5,2,40.3,41
S00092707,63,1,-,1,-,2,3,1,3,3,16,17,7,7,1,-,1,46.4,46
S00092708,104,6,4,3,3,-,3,2,5,5,14,24,6,13,14,2,-,45.7,48
S00092709,93,4,2,4,4,1,2,2,2,5,13,21,9,11,12,1,-,46.1,49
S00092710,133,6,3,1,8,2,5,-,4,4,15,32,4,16,26,6,1,50.2,51
S00092711,128,6,6,3,12,2,3,1,6,3,24,34,10,13,5,-,-,39.6,44
S00092712,123,8,3,3,11,1,4,3,3,3,30,30,3,15,6,-,-,39.5,42
S00092713,118,3,4,4,9,-,1,2,7,2,20,27,18,11,6,1,3,45.6,52
S00092714,69,4,2,2,6,-,-,2,1,2,15,14,7,6,7,-,1,43.9,46
S00092715,101,6,5,2,3,-,1,1,17,14,23,17,6,4,1,1,-,34.0,30
S00092716,132,9,7,4,17,3,4,3,3,6,28,22,10,11,4,1,-,35.1,36
S00092717,205,5,2,6,18,1,9,9,8,2,37,60,13,21,13,-,1,42.5,46
S00092718,110,6,-,1,2,1,1,1,7,9,20,38,7,8,6,1,2,44.8,47
S00092719,86,5,-,3,2,2,4,1,5,4,18,20,9,3,9,1,-,42.8,44
S00092720,186,20,16,6,12,2,7,1,5,26,72,16,-,2,-,1,-,26.2,28
S00092721,86,5,7,1,2,-,2,1,3,5,18,32,5,4,1,-,-,39.2,44
S00092722,82,8,2,1,6,1,-,1,3,6,23,20,5,4,2,-,-,37.0,39
S00092723,167,14,3,6,8,2,5,4,15,17,36,39,6,7,5,-,-,34.1,31
S00092724,146,6,5,1,6,2,4,1,8,8,22,31,6,6,26,9,5,49.1,48
S00092725,57,-,-,-,-,-,-,-,-,-,-,-,6,15,26,10,-,76.2,76
S00092726,116,8,4,4,6,1,3,1,5,10,20,23,7,12,11,1,-,41.7,42
S00092727,93,3,2,1,3,-,4,2,7,2,13,23,11,10,8,3,1,47.7,52
S00092728,109,2,4,3,6,1,2,4,8,10,36,14,1,8,9,1,-,38.1,37
S00092729,146,9,5,3,9,4,7,3,14,9,22,36,12,8,5,-,-,36.1,38
S00092730,111,6,5,5,6,3,4,4,6,5,21,28,1,9,6,2,-,37.4,38
S00092731,175,16,17,8,26,3,3,5,11,5,52,29,-,-,-,-,-,25.8,24
S00092732,128,12,2,2,3,1,2,2,9,4,26,29,5,17,10,3,1,44.0,47
S00092733,177,8,17,1,17,4,11,6,5,7,51,42,4,4,-,-,-,31.8,38
S00092734,154,14,3,3,7,2,4,5,13,16,44,34,4,3,1,1,-,32.7,33
S00092735,62,3,1,2,7,1,1,1,2,1,13,15,2,7,6,-,-,41.4,42
S00092736,57,-,-,-,1,-,-,2,11,13,12,5,4,5,4,-,-,39.2,30
S00092737,104,6,1,2,4,-,2,1,14,7,23,16,13,9,6,-,-,40.0,40
S00092738,131,11,6,4,3,-,4,1,8,9,32,27,7,14,4,-,1,38.3,37
S00092739,80,6,1,-,-,-,-,-,7,16,24,11,6,3,4,1,1,39.2,35
S00092740,60,3,5,1,5,-,1,-,-,5,13,12,3,6,4,2,-,40.8,43
S00092741,98,9,1,1,2,-,3,2,8,7,26,23,3,7,4,2,-,39.4,39
S00092742,109,6,5,1,12,2,3,4,7,3,26,14,1,16,7,1,1,38.5,38
S00092743,82,4,1,4,3,1,2,1,2,5,14,17,7,11,10,-,-,46.0,51
S00092744,126,2,1,2,8,1,5,-,3,7,27,27,14,19,7,3,-,46.7,48
S00092745,173,14,7,1,5,-,6,1,7,17,56,29,7,8,8,4,3,37.7,34
S00092746,63,2,3,1,2,-,2,2,2,9,14,18,2,3,3,-,-,39.2,43
S00092747,117,4,2,-,6,2,5,4,9,6,26,30,9,6,6,2,-,40.8,43
S00092748,138,-,3,-,5,3,2,4,11,6,19,29,22,20,10,1,3,48.9,52
S00092749,124,4,2,-,7,1,5,6,11,9,15,39,10,10,5,-,-,40.6,45
S00092750,103,2,3,1,2,2,3,4,1,4,19,17,3,16,19,3,4,52.1,56
S00092751,132,14,7,3,13,1,5,1,5,6,42,30,5,-,-,-,-,30.9,36
S00092752,155,10,3,1,9,1,4,4,10,8,33,35,8,17,11,1,-,41.2,43
S00092753,133,11,8,3,8,2,5,3,8,15,41,23,3,2,-,1,-,30.8,34
S00092754,90,7,2,3,6,-,3,3,-,12,30,20,1,2,-,-,1,33.3,34
S00092755,75,8,6,4,7,3,-,2,4,2,27,12,-,-,-,-,-,27.6,31
S00092756,170,10,4,7,9,2,7,6,8,8,22,44,13,17,9,4,-,41.2,45
S00092757,178,12,8,1,5,2,7,2,18,15,42,41,14,7,4,-,-,36.4,36
S00092758,70,1,1,1,3,-,-,1,1,1,8,6,4,15,14,10,4,62.6,71
S00092759,95,3,1,4,3,2,-,-,3,16,15,19,8,15,4,1,1,43.6,45
S00092760,151,17,6,2,7,-,7,3,7,2,40,33,9,10,7,1,-,36.9,38
S00092761,64,4,1,1,1,1,-,-,3,4,15,7,12,10,3,-,2,47.1,50
S00092762,84,2,1,1,5,1,5,1,5,6,13,27,8,7,2,-,-,41.1,46
S00092763,145,15,7,5,13,1,2,1,2,9,55,28,4,2,1,-,-,31.4,34
S00092764,119,3,5,3,9,-,5,1,10,8,24,30,7,6,6,2,-,39.4,38
S00092765,219,20,9,7,14,3,3,2,8,17,64,30,16,19,6,1,-,35.8,35
S00092766,94,2,4,4,6,2,4,3,6,10,30,16,5,1,1,-,-,33.3,36
S00092767,159,12,9,7,15,4,7,1,5,8,55,29,1,3,3,-,-,30.8,32
S00092768,169,17,13,11,10,2,6,3,3,6,60,25,4,4,4,-,1,30.3,33
S00092769,163,14,8,6,11,1,5,6,6,4,38,29,11,14,9,1,-,37.4,39
S00092770,71,5,2,1,2,1,1,1,3,2,12,17,3,15,6,-,-,46.0,50
S00092771,168,5,5,2,12,5,8,9,20,7,22,56,7,5,4,1,-,36.8,41
S00092772,121,3,-,3,4,1,5,3,4,7,18,32,9,16,13,2,1,48.0,49
S00092773,81,6,5,4,7,1,2,-,7,2,17,15,4,11,-,-,-,35.6,40
S00092774,115,6,1,2,5,2,2,4,7,6,26,25,5,14,8,2,-,42.7,43
S00092775,92,3,5,4,8,1,3,2,5,6,13,22,5,5,7,2,1,39.1,39
S00092776,138,9,2,-,4,-,6,2,4,12,24,20,7,15,11,16,6,49.7,49
S00092777,109,13,4,1,10,1,3,-,7,9,33,20,6,-,-,1,1,31.4,33
S00092778,141,8,8,2,18,2,3,5,7,8,31,33,8,6,2,-,-,33.8,35
S00092779,189,35,14,7,6,-,1,6,7,20,74,17,-,2,-,-,-,25.2,29
S00092780,108,10,1,2,10,1,2,4,6,5,28,23,7,7,1,-,1,36.0,37
S00092781,153,9,5,3,17,3,5,8,7,3,30,40,10,9,3,1,-,36.1,40
S00092782,114,6,4,1,11,2,4,1,6,-,28,21,13,12,5,-,-,40.4,42
S00092783,119,13,4,7,6,1,2,4,3,13,36,22,4,4,-,-,-,31.3,32
S00092784,140,13,9,4,10,-,2,2,3,4,38,29,7,13,2,2,2,37.7,40
S00092785,168,11,1,4,11,-,4,1,5,10,39,28,11,33,10,-,-,43.6,44
S00092786,111,2,1,1,8,-,8,2,2,2,17,26,6,18,15,1,2,48.8,50
S00092787,127,7,2,2,8,-,4,5,7,3,14,29,10,22,9,4,1,45.9,49
S00092788,161,9,7,1,8,1,4,5,14,11,45,35,6,6,8,1,-,37.0,37
S00092789,161,9,4,4,6,1,3,2,11,22,48,27,10,13,1,-,-,36.4,35
S00092790,191,9,8,4,10,5,3,8,12,1,44,50,14,15,4,1,3,40.3,42
S00092791,82,5,1,-,1,-,3,4,9,8,10,25,8,3,3,1,1,40.8,44
S00092792,124,5,2,2,1,2,-,5,15,4,22,39,14,10,3,-,-,42.4,47
S00092793,128,6,1,-,5,1,3,3,12,13,26,36,9,11,1,-,1,39.7,38
S00092794,99,3,4,-,2,-,3,1,8,5,11,21,11,15,12,3,-,49.9,56
S00092795,69,1,1,-,-,-,1,1,6,3,5,17,7,21,5,1,-,53.8,58
S00092796,93,6,1,5,7,1,5,1,5,6,15,23,11,4,1,2,-,37.8,40
S00092797,136,3,2,1,11,1,7,4,10,8,16,41,8,14,8,1,1,42.7,46
S00092798,91,5,4,1,4,-,1,3,4,7,23,8,9,11,8,2,1,43.3,39
S00092799,118,10,4,-,3,2,4,7,8,13,16,33,6,6,6,-,-,36.6,33
S00092800,140,5,3,4,1,1,4,3,5,5,28,36,11,12,15,7,-,47.6,49
S00092801,58,6,1,4,4,-,1,-,3,3,15,14,1,4,1,-,1,35.1,35
S00092802,95,7,-,1,2,-,2,2,4,2,13,10,8,10,20,8,6,56.4,63
S00092803,57,3,-,2,-,1,2,2,5,4,9,20,3,4,1,1,-,40.9,45
S00092804,227,13,7,-,4,1,3,2,7,17,30,32,12,24,45,18,12,54.4,59
S00092805,87,8,3,5,9,-,-,1,4,2,23,18,4,8,2,-,-,35.9,37
S00092806,116,7,2,2,8,-,2,1,9,8,21,45,3,7,-,1,-,38.1,43
S00092807,155,9,3,2,6,2,5,6,12,7,22,41,11,19,9,1,-,42.4,48
S00092808,121,3,4,2,4,3,3,-,4,3,13,31,19,15,14,2,1,50.2,56
S00092809,105,7,2,2,4,-,4,2,9,6,17,24,10,12,4,2,-,41.3,44
S00092810,170,14,9,5,12,5,4,3,6,1,42,38,11,10,6,3,1,37.6,41
S00092811,81,1,-,-,3,1,2,-,2,2,7,20,5,9,16,11,2,59.2,64
S00092812,131,9,5,1,11,3,3,3,8,6,26,26,7,14,8,1,-,39.1,41
S00092813,142,11,6,1,8,3,6,5,11,10,24,38,1,10,7,1,-,36.4,36
S00092814,166,7,6,5,8,3,8,5,6,5,40,35,13,7,10,6,2,41.0,43
S00092815,155,21,10,4,3,-,2,1,8,16,43,21,6,11,6,3,-,34.4,33
S00092816,188,18,6,5,22,2,10,5,7,5,53,38,4,7,6,-,-,32.5,35
S00092817,84,-,4,3,3,1,3,1,2,6,10,20,14,13,2,-,2,46.8,54
