,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00089022,96,4,-,-,-,-,-,-,11,20,23,18,6,6,7,1,-,41.2,35
S00089023,99,6,1,1,3,1,-,4,11,10,19,21,10,6,1,2,3,40.7,38
S00089024,65,1,-,-,-,-,-,3,18,19,14,4,1,5,-,-,-,31.6,28
S00089025,63,-,-,-,-,-,-,-,20,9,24,8,-,-,1,-,1,33.2,30
S00089026,67,1,-,-,-,-,-,-,14,20,20,8,-,4,-,-,-,34.0,29
S00089027,107,-,-,-,3,-,3,4,18,30,38,8,-,-,2,-,1,30.9,29
S00089028,78,-,-,-,-,-,-,-,16,19,29,12,1,-,1,-,-,34.0,30
S00089029,82,3,-,-,-,-,-,3,11,28,21,14,1,-,1,-,-,32.4,29
S00089030,66,1,1,-,-,-,-,1,11,16,30,3,1,2,-,-,-,31.7,30
S00089031,143,10,-,-,4,2,1,1,24,35,44,14,4,3,1,-,-,31.4,29
S00089032,84,4,3,-,3,1,2,1,9,16,26,11,1,5,2,-,-,32.9,31
S00089033,95,2,2,-,2,-,1,3,18,17,32,7,5,2,4,-,-,33.8,30
S00089034,58,1,-,-,1,1,1,-,8,10,17,8,3,5,3,-,-,39.6,37
S00089035,106,5,2,-,1,2,-,2,13,21,32,18,3,4,2,1,-,35.3,32
S00089036,67,2,1,-,2,1,1,1,9,19,20,8,2,1,-,-,-,31.5,29
S00089037,87,4,2,1,-,-,-,1,24,17,30,6,-,1,1,-,-,29.4,27
S00089038,58,2,-,-,-,-,-,1,17,18,15,5,-,-,-,-,-,28.1,27
S00089039,80,6,-,-,1,-,-,4,24,18,16,8,3,-,-,-,-,28.4,25
S00089040,91,10,4,2,4,2,3,3,14,8,18,19,3,1,-,-,-,29.1,26
S00089041,225,5,6,1,8,2,3,7,17,16,30,29,13,23,27,20,18,52.2,53
S00089042,68,7,2,3,4,1,2,1,7,5,17,14,2,2,-,-,1,31.7,31
S00089043,148,18,5,7,10,2,2,6,20,11,33,24,8,1,-,-,1,28.7,27
S00089044,71,4,2,2,5,-,2,3,5,5,16,18,7,2,-,-,-,35.5,35
S00089045,73,3,1,2,5,1,2,2,5,3,12,14,4,11,6,1,1,43.8,45
S00089046,248,8,2,-,1,-,1,5,36,42,79,40,11,17,6,-,-,37.3,33
S00089047,110,6,2,2,3,-,1,2,9,6,25,24,7,14,8,1,-,43.5,43
S00089048,91,6,2,1,1,-,-,3,6,7,17,19,7,12,8,1,1,45.3,47
S00089049,130,5,-,2,8,-,8,3,8,10,24,38,10,7,4,3,-,40.4,44
S00089050,108,8,3,2,8,2,1,1,1,5,32,15,4,17,9,-,-,41.5,42
S00089051,146,7,2,1,4,1,3,4,23,20,30,34,6,9,1,1,-,36.3,34
S00089052,148,7,1,-,5,-,2,6,16,13,16,51,12,10,9,-,-,42.8,47
S00089053,114,7,1,3,6,1,2,-,11,17,34,25,2,1,4,-,-,33.8,32
S00089054,76,3,-,-,1,1,-,-,10,15,31,8,2,2,3,-,-,34.3,31
S00089055,86,1,-,-,-,-,-,3,15,16,26,21,1,1,-,1,1,37.0,37
S00089056,71,1,-,-,1,-,1,-,16,12,24,11,3,2,-,-,-,34.4,31
S00089057,85,2,-,1,-,-,1,2,17,10,18,26,3,4,1,-,-,38.1,37
S00089058,96,1,2,-,-,-,2,1,7,26,32,18,1,5,1,-,-,36.1,34
S00089059,55,1,-,-,-,-,-,-,3,15,12,16,8,-,-,-,-,39.7,36
S00089060,61,6,2,1,-,-,-,-,5,12,19,14,1,1,-,-,-,32.7,32
S00089061,75,8,2,1,-,-,-,1,15,16,16,10,3,3,-,-,-,30.5,29
S00089062,53,3,-,-,1,-,1,-,12,3,15,11,1,3,3,-,-,36.7,34
S00089063,83,10,-,-,-,-,-,4,12,14,28,12,2,-,1,-,-,31.1,30
S00089064,84,3,-,2,-,-,-,-,13,11,28,19,4,1,2,-,1,37.8,36
S00089065,95,5,-,2,1,-,1,2,6,25,40,12,1,-,-,-,-,32.4,31
S00089066,64,2,-,-,1,-,-,7,13,7,12,17,1,-,4,-,-,35.7,32
S00089067,108,9,1,5,1,-,-,5,23,10,34,16,3,-,-,-,1,30.5,30
S00089068,73,2,2,-,1,2,1,2,10,12,18,15,4,2,2,-,-,35.6,30
S00089069,60,7,1,-,-,-,1,2,5,21,13,5,2,1,1,-,1,30.3,29
S00089070,127,5,3,2,1,1,1,2,20,28,34,23,4,-,3,-,-,32.8,30
S00089071,88,4,-,1,1,1,1,1,5,11,23,16,3,7,6,5,3,46.0,42
