,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
S00096513,118,1,1,-,15,20,5,10,29,18,10,6,4,10
S00096514,69,3,-,3,7,10,3,5,16,9,10,8,2,6
S00096515,72,-,-,-,6,2,2,6,18,9,27,16,11,2
S00096516,89,2,1,1,12,7,7,9,17,18,11,9,2,6
S00096517,135,1,-,1,7,18,7,12,34,24,19,14,5,13
S00096518,87,-,-,-,12,12,3,14,24,6,12,3,9,4
S00096519,99,1,-,1,10,8,3,12,26,15,18,9,9,6
S00096520,84,-,-,-,14,7,5,8,18,15,8,4,4,9
S00096521,120,5,2,3,25,20,6,13,21,17,4,1,3,9
S00096522,64,6,2,4,19,13,1,5,9,3,-,-,-,8
S00096523,115,4,-,4,17,17,4,15,25,15,10,5,5,8
S00096524,89,3,1,2,12,13,5,8,13,19,10,5,5,6
S00096525,49,2,-,2,5,8,1,5,12,11,2,2,-,3
S00096526,133,25,6,19,35,16,17,5,8,9,4,3,1,14
S00096527,89,6,1,5,26,13,6,4,17,9,6,2,4,2
S00096528,56,4,1,3,25,7,2,5,6,2,2,-,2,3
S00096529,78,14,3,11,21,10,7,2,10,3,4,2,2,7
S00096530,116,13,2,11,35,23,8,4,14,5,2,1,1,12
S00096531,44,2,1,1,5,2,4,5,12,13,1,1,-,-
S00096532,71,12,2,10,27,12,2,4,5,1,1,1,-,7
S00096533,68,3,-,3,20,6,6,12,7,11,2,1,1,1
S00096534,52,1,1,-,2,4,5,9,15,11,5,2,3,-
S00096535,51,-,-,-,9,4,4,5,16,8,4,3,1,1
S00096536,134,6,-,6,35,27,4,5,26,16,5,4,1,10
S00096537,68,1,1,-,8,8,5,6,7,12,19,19,-,2
S00096538,69,10,3,7,18,10,7,5,9,3,-,-,-,7
S00096539,62,-,-,-,5,4,3,5,18,19,7,4,3,1
S00096540,102,-,-,-,9,3,2,10,31,20,19,12,7,8
S00096541,68,2,1,1,2,10,5,6,11,10,16,9,7,6
S00096542,93,2,-,2,6,8,5,6,25,19,20,11,9,2
S00096543,75,2,-,2,9,9,-,7,16,16,14,12,2,2
S00096544,80,1,-,1,3,6,2,6,27,15,16,11,5,4
S00096545,65,1,-,1,5,9,5,1,19,18,5,3,2,2
S00096546,43,-,-,-,5,5,2,1,13,14,3,2,1,-
S00096547,61,2,1,1,12,8,2,5,10,11,7,2,5,4
S00096548,108,10,2,8,30,13,8,7,14,12,2,2,-,12
S00096549,92,4,2,2,11,12,1,11,25,15,8,5,3,5
S00096550,116,4,1,3,15,13,5,13,27,26,5,2,3,8
S00096551,62,-,-,-,8,5,1,5,9,17,8,4,4,9
S00096552,67,2,1,1,9,9,2,6,15,17,3,1,2,4
S00096553,108,2,1,1,14,16,2,15,20,23,12,7,5,4
S00096554,62,1,-,1,10,1,3,4,18,10,13,7,6,2
S00096555,132,1,1,-,12,10,7,10,30,18,24,19,5,20
S00096556,107,-,-,-,11,12,6,10,25,27,10,8,2,6
S00096557,45,2,1,1,4,9,1,5,9,11,3,1,2,1
S00096558,124,2,-,2,11,14,-,12,31,31,7,4,3,16
S00096559,74,1,-,1,9,11,3,9,17,16,6,3,3,2
S00096560,71,3,-,3,9,9,6,6,15,13,6,3,3,4
S00096561,65,1,-,1,7,5,2,5,14,14,11,9,2,6
S00096562,56,3,1,2,4,7,4,3,7,10,11,8,3,7
S00096563,113,3,-,3,11,11,9,8,31,23,11,9,2,6
S00096564,79,1,-,1,9,2,4,4,13,14,30,18,12,2
S00096565,53,1,-,1,5,4,1,1,16,13,10,4,6,2
S00096566,90,2,-,2,8,10,2,7,18,18,20,12,8,5
S00096567,86,9,1,8,31,11,2,8,9,6,3,1,2,7
S00096568,94,4,1,3,29,20,3,8,12,8,1,-,1,9
S00096569,73,5,-,5,20,10,2,6,12,10,-,-,-,8
S00096570,98,4,-,4,19,16,4,9,21,16,2,2,-,7
S00096571,118,6,1,5,17,21,12,8,19,19,6,2,4,10
S00096572,61,2,-,2,8,4,3,7,17,12,4,1,3,4
S00096573,78,11,4,7,14,14,6,5,11,6,1,1,-,10
S00096574,74,4,-,4,10,11,2,7,16,7,12,10,2,5
S00096575,55,2,-,2,15,6,7,2,10,7,2,2,-,4
S00096576,82,1,-,1,9,6,3,12,14,17,11,7,4,9
S00096577,60,4,-,4,14,8,14,8,5,4,-,-,-,3
S00096578,56,8,4,4,16,5,11,5,4,4,1,1,-,2
S00096579,94,12,-,12,28,20,2,7,10,6,2,-,2,7
S00096580,78,12,1,11,15,10,10,5,11,8,-,-,-,7
S00096581,78,4,-,4,18,16,18,6,2,3,5,5,-,6
S00096582,67,14,2,12,11,8,8,5,10,4,2,2,-,5
S00096583,73,7,2,5,12,8,14,4,10,7,2,2,-,9
S00096584,81,5,1,4,22,15,5,8,13,6,3,-,3,4
S00096585,50,4,1,3,12,10,2,6,9,4,-,-,-,3
S00096586,56,1,-,1,26,11,4,6,6,2,-,-,-,-
S00096587,115,22,6,16,32,20,4,8,12,4,-,-,-,13
S00096588,72,6,5,1,19,11,9,6,13,6,1,-,1,1
S00096589,66,3,1,2,15,16,2,6,9,7,5,3,2,3
S00096590,84,8,2,6,27,9,1,11,15,8,3,2,1,2
S00096591,56,2,1,1,18,17,-,4,6,6,2,-,2,1
S00096592,51,3,1,2,13,7,4,5,9,3,-,-,-,7
S00096593,45,1,-,1,6,10,3,5,10,7,3,1,2,-
S00096594,67,6,1,5,19,11,5,2,9,10,2,1,1,3
S00096595,67,7,2,5,19,14,-,8,10,6,-,-,-,3
S00096596,54,-,-,-,5,12,4,-,16,7,10,4,6,-
S00096597,81,1,-,1,12,12,3,5,22,14,5,3,2,7
S00096598,48,5,3,2,15,8,3,2,7,1,2,1,1,5
S00096599,72,-,-,-,7,14,3,7,13,20,5,4,1,3
S00096600,64,-,-,-,9,2,1,9,18,15,6,6,-,4
S00096601,88,4,1,3,22,15,2,7,16,13,4,2,2,5
S00096602,69,2,-,2,8,12,4,2,17,12,2,1,1,10
S00096603,97,1,-,1,11,13,7,9,23,25,7,5,2,1
S00096604,88,6,2,4,17,11,6,8,16,14,7,5,2,3
S00096605,55,1,-,1,3,5,1,2,10,18,11,9,2,4
S00096606,63,2,2,-,17,13,-,7,14,4,6,4,2,-
S00096607,79,-,-,-,13,8,4,7,16,18,8,5,3,5
S00096608,89,6,2,4,19,19,4,8,13,10,-,-,-,10
S00096609,109,9,3,6,29,17,6,11,13,16,-,-,-,8
S00096610,65,1,1,-,6,7,3,6,14,16,9,5,4,3
S00096611,187,22,9,13,60,33,11,12,21,8,4,3,1,16
S00096612,68,7,1,6,32,11,4,3,4,1,-,-,-,6
S00096613,48,1,-,1,18,5,11,6,3,2,1,1,-,1
S00096614,54,6,1,5,15,12,6,3,3,3,1,1,-,5
S00096615,65,5,1,4,13,13,8,3,11,8,3,1,2,1
S00096616,95,10,2,8,21,13,5,11,15,16,-,-,-,4
S00096617,82,5,1,4,10,11,5,9,14,15,5,3,2,8
S00096618,99,8,1,7,29,28,1,7,12,4,2,2,-,8
S00096619,67,7,2,5,16,16,9,5,10,1,-,-,-,3
S00096620,60,1,1,-,7,8,1,7,17,10,4,-,4,5
S00096621,67,2,-,2,12,11,-,11,16,9,2,2,-,4
S00096622,58,1,-,1,9,8,-,9,9,18,2,1,1,2
S00096623,87,6,1,5,16,7,2,7,16,19,8,5,3,6
S00096624,70,4,1,3,18,11,3,7,5,12,1,-,1,9
S00096625,114,9,3,6,25,23,9,9,12,9,-,-,-,18
S00096626,95,5,1,4,23,20,5,9,15,9,3,2,1,6
S00096627,56,4,1,3,10,10,2,6,15,4,2,2,-,3
S00096628,99,9,1,8,20,18,15,10,14,7,2,2,-,4
S00096629,57,2,-,2,11,12,4,7,13,6,2,1,1,-
S00096630,94,6,2,4,15,21,6,8,18,12,2,1,1,6
S00096631,76,10,3,7,22,7,3,9,10,5,4,2,2,6
S00096632,77,8,1,7,12,12,2,2,5,11,20,19,1,5
S00096633,85,5,1,4,11,7,4,8,25,18,6,3,3,1
S00096634,62,3,2,1,12,7,5,9,11,10,2,1,1,3
S00096635,80,2,1,1,14,12,9,7,11,16,4,4,-,5
S00096636,63,2,1,1,9,6,2,10,16,12,3,2,1,3
S00096637,64,-,-,-,9,6,2,6,16,18,3,3,-,4
S00096638,53,1,-,1,3,15,1,8,8,15,1,1,-,1
S00096639,59,3,2,1,17,8,3,8,13,5,1,1,-,1
S00096640,60,1,1,-,6,5,4,7,15,16,6,5,1,-
S00096641,79,3,2,1,20,16,3,12,11,6,1,-,1,7
S00096642,109,8,2,6,16,20,7,22,9,9,3,2,1,15
S00096643,133,15,3,12,25,31,16,10,16,10,1,-,1,9
S00096644,92,-,-,-,18,10,7,6,26,13,8,3,5,4
S00096645,63,4,1,3,3,12,3,5,15,14,1,1,-,6
S00096646,60,-,-,-,12,15,1,4,12,8,4,3,1,4
S00096647,100,1,-,1,9,13,7,16,23,13,10,4,6,8
S00096648,41,2,-,2,4,4,2,7,10,9,2,2,-,1
S00096649,89,4,1,3,21,17,6,10,11,8,4,3,1,8
S00096650,72,4,-,4,19,12,4,8,12,4,2,1,1,7
S00096651,178,8,3,5,50,34,13,22,23,13,3,2,1,12
S00096652,134,12,4,8,43,27,10,13,10,13,-,-,-,6
S00096653,48,2,1,1,13,9,2,7,7,7,-,-,-,1
S00096654,128,14,5,9,29,20,9,9,19,10,3,1,2,15
S00096655,148,7,2,5,17,22,11,11,25,25,8,7,1,22
S00096656,65,3,1,2,13,18,5,4,11,6,-,-,-,5
S00096657,71,5,1,4,10,13,9,9,10,7,6,4,2,2
S00096658,46,1,-,1,7,6,3,5,12,5,2,-,2,5
S00096659,71,6,-,6,17,11,2,6,15,7,1,-,1,6
S00096660,82,7,-,7,17,17,1,13,14,8,-,-,-,5
S00096661,116,8,3,5,37,17,9,10,13,12,4,3,1,6
S00096662,88,18,6,12,23,9,2,4,6,8,2,2,-,16
S00096663,95,13,2,11,29,20,6,5,10,2,1,1,-,9
S00096664,145,9,3,6,36,21,8,13,21,13,10,10,-,14
S00096665,128,4,2,2,23,23,7,16,21,14,12,6,6,8
S00096666,64,5,2,3,13,8,7,10,8,8,1,1,-,4
S00096667,46,3,-,3,12,8,1,8,5,7,1,1,-,1
S00096668,61,3,1,2,17,9,2,6,11,7,2,-,2,4
S00096669,128,12,5,7,41,25,7,6,19,9,1,-,1,8
S00096670,77,6,1,5,19,10,3,7,16,6,2,2,-,8
S00096671,75,9,1,8,26,13,6,3,6,3,2,2,-,7
S00096672,81,4,1,3,15,13,4,5,11,18,9,7,2,2
S00096673,137,13,1,12,34,22,4,12,21,17,2,1,1,12
S00096674,106,5,1,4,29,14,3,10,19,14,3,1,2,9
S00096675,88,4,1,3,11,9,12,8,21,15,3,2,1,5
S00096676,69,1,1,-,14,13,3,3,15,15,2,1,1,3
S00096677,41,1,1,-,4,8,3,3,10,6,4,3,1,2
S00096678,60,-,-,-,4,7,4,8,11,16,8,6,2,2
S00096679,63,2,1,1,5,9,3,5,17,13,4,2,2,5
S00096680,61,1,-,1,4,5,1,5,15,22,4,2,2,4
S00096681,77,2,1,1,7,6,7,7,20,13,12,10,2,3
S00096682,85,2,-,2,5,8,3,10,14,20,14,10,4,9
S00096683,117,8,1,7,24,9,10,13,16,22,4,3,1,11
S00096684,66,1,-,1,5,5,5,6,16,10,17,13,4,1
S00096685,94,2,1,1,14,13,4,5,21,17,11,7,4,7
S00096686,136,3,1,2,17,18,4,19,32,21,14,11,3,8
S00096687,129,5,1,4,30,23,8,18,23,13,3,3,-,6
S00096688,91,4,-,4,15,15,6,16,15,10,2,2,-,8
S00096689,72,6,3,3,12,12,2,9,14,12,3,2,1,2
S00096690,59,5,1,4,9,11,4,7,17,4,1,1,-,1
S00096691,77,7,1,6,18,18,6,4,3,3,2,-,2,16
S00096692,167,17,5,12,38,18,13,14,23,14,5,4,1,25
S00096693,122,7,-,7,32,22,7,10,15,13,1,1,-,15
S00096694,86,4,-,4,19,5,14,6,16,10,4,3,1,8
S00096695,59,-,-,-,12,10,2,4,13,10,5,3,2,3
S00096696,103,-,-,-,9,18,4,7,31,28,5,4,1,1
S00096697,84,3,1,2,17,9,3,10,17,10,10,5,5,5
S00096698,55,5,-,5,18,13,2,4,6,2,3,2,1,2
S00096699,60,5,1,4,23,13,1,8,2,3,2,2,-,3
S00096700,63,1,1,-,8,11,2,6,16,11,5,3,2,3
S00096701,59,-,-,-,6,10,1,5,19,8,6,4,2,4
S00096702,80,2,2,-,26,19,1,6,8,8,2,2,-,8
S00096703,95,3,1,2,15,19,2,8,23,9,6,2,4,10
S00096704,75,2,1,1,17,10,1,7,17,14,2,1,1,5
S00096705,117,7,3,4,25,22,6,9,20,11,6,3,3,11
S00096706,57,4,1,3,10,9,3,1,12,8,5,2,3,5
S00096707,56,2,1,1,17,14,3,1,4,5,-,-,-,10
S00096708,50,1,1,-,1,5,1,5,13,15,9,4,5,-
S00096709,53,1,-,1,5,3,2,3,13,13,10,6,4,3
S00096710,78,-,-,-,4,6,4,7,16,20,15,7,8,6
S00096711,65,4,2,2,10,5,2,7,13,11,8,7,1,5
S00096712,92,4,4,-,11,13,3,7,25,13,8,6,2,8
S00096713,84,6,6,-,19,12,6,5,12,13,4,4,-,7
S00096714,43,6,5,1,8,8,4,1,4,7,2,1,1,3
S00096715,138,5,2,3,28,26,16,14,26,9,4,3,1,10
S00096716,46,4,-,4,9,9,5,2,6,4,3,3,-,4
S00096717,69,2,-,2,11,10,3,3,18,11,6,3,3,5
S00096718,63,1,-,1,8,10,6,5,13,9,5,3,2,6
S00096719,98,2,-,2,21,24,6,5,14,15,7,4,3,4
S00096720,56,3,-,3,14,15,1,3,7,4,2,-,2,7
S00096721,48,3,1,2,7,9,2,-,11,9,5,5,-,2
S00096722,66,-,-,-,6,12,-,4,20,11,7,1,6,6
S00096723,95,-,-,-,9,10,6,14,24,14,13,6,7,5
S00096724,60,1,-,1,7,5,4,5,19,10,7,4,3,2
S00096725,82,4,-,4,9,9,2,7,17,17,8,7,1,9
S00096726,66,5,2,3,2,6,2,4,17,12,13,4,9,5
S00096727,99,1,1,-,14,16,1,6,18,17,16,10,6,10
S00096728,108,3,2,1,15,12,7,4,27,21,12,4,8,7
S00096729,102,1,-,1,10,8,6,10,24,20,12,9,3,11
S00096730,80,2,-,2,4,5,2,7,18,18,18,11,7,6
S00096731,48,3,-,3,6,9,-,4,10,9,2,2,-,5
S00096732,78,-,-,-,7,10,1,3,20,13,18,14,4,6
S00096733,116,1,-,1,12,15,5,16,27,26,6,4,2,8
S00096734,58,2,1,1,7,7,3,6,16,9,4,3,1,4
S00096735,84,3,-,3,15,13,3,7,17,12,5,4,1,9
S00096736,59,2,2,-,8,8,6,5,13,10,3,2,1,4
S00096737,43,-,-,-,10,4,1,5,8,9,1,-,1,5
S00096738,83,1,-,1,17,12,1,6,19,12,11,8,3,4
S00096739,114,3,2,1,24,26,6,17,19,10,3,1,2,6
S00096740,86,4,1,3,17,9,4,10,19,11,6,3,3,6
S00096741,101,2,-,2,15,16,6,7,19,22,11,7,4,3
S00096742,81,3,-,3,17,14,7,7,13,11,3,3,-,6
S00096743,85,8,2,6,25,12,9,5,13,1,2,-,2,10
S00096744,88,8,2,6,21,18,4,6,11,7,3,1,2,10
S00096745,81,4,1,3,7,8,-,8,21,28,5,4,1,-
S00096746,56,1,-,1,3,10,1,4,15,12,9,5,4,1
S00096747,138,3,-,3,28,27,1,12,33,23,5,4,1,6
S00096748,115,-,-,-,13,12,2,14,31,34,6,5,1,3
S00096749,134,2,2,-,18,17,8,16,26,31,9,4,5,7
S00096750,124,-,-,-,14,27,5,5,27,25,11,7,4,10
S00096751,72,1,1,-,11,10,2,4,18,12,8,4,4,6
S00096752,90,-,-,-,15,13,2,12,19,21,5,4,1,3
S00096753,77,2,-,2,9,11,7,14,12,17,2,1,1,3
S00096754,76,3,2,1,9,12,1,5,15,21,5,3,2,5
S00096755,94,1,-,1,10,18,5,6,20,20,6,5,1,8
S00096756,90,2,-,2,15,14,4,8,19,17,3,1,2,8
S00096757,56,1,-,1,6,9,1,5,12,14,6,4,2,2
S00096758,96,3,1,2,7,9,6,4,29,18,11,7,4,9
S00096759,58,-,-,-,6,5,-,8,8,8,10,4,6,13
S00096760,91,1,-,1,10,14,5,4,19,17,11,7,4,10
S00096761,72,2,-,2,7,8,1,8,15,15,9,7,2,7
S00096762,51,1,-,1,4,8,-,2,17,7,6,3,3,6
S00096763,62,1,-,1,7,7,5,5,14,12,6,4,2,5
S00096764,44,1,-,1,4,4,4,3,9,12,5,4,1,2
S00096765,81,1,-,1,5,11,3,5,20,23,11,8,3,2
S00096766,102,2,1,1,12,9,6,9,25,23,5,5,-,11
S00096767,79,-,-,-,9,14,2,4,18,12,16,10,6,4
S00096768,72,1,-,1,11,10,2,7,24,8,5,3,2,4
S00096769,57,-,-,-,10,12,3,6,12,9,3,1,2,2
S00096770,56,1,-,1,7,11,5,4,9,14,1,1,-,4
S00096771,74,1,-,1,10,10,4,9,17,12,7,4,3,4
S00096772,72,3,-,3,17,13,5,7,11,7,1,-,1,8
S00096773,80,1,-,1,13,12,4,1,21,13,7,6,1,8
S00096774,84,2,1,1,5,11,1,7,24,17,8,7,1,9
S00096775,45,2,2,-,5,5,3,4,16,10,-,-,-,-
S00096776,52,1,-,1,5,4,5,3,10,15,7,4,3,2
S00096777,48,1,-,1,4,1,2,5,16,13,2,2,-,4
S00096778,51,-,-,-,1,5,2,5,10,17,9,5,4,2
S00096779,48,1,-,1,1,7,1,7,12,10,7,5,2,2
S00096780,40,1,-,1,4,7,2,3,5,11,7,2,5,-
S00096781,82,7,3,4,15,7,6,3,20,10,5,4,1,9
S00096782,91,1,-,1,10,9,2,10,21,21,9,6,3,8
S00096783,46,1,-,1,1,4,4,-,15,9,9,8,1,3
S00096784,86,2,-,2,13,6,5,8,13,19,11,9,2,9
S00096785,89,4,1,3,11,15,3,7,24,14,5,5,-,6
S00096786,80,1,-,1,12,10,6,9,19,11,4,2,2,8
S00096787,114,7,2,5,19,21,9,13,19,15,3,2,1,8
S00096788,57,3,1,2,5,11,4,4,10,8,4,4,-,8
S00096789,52,2,2,-,12,7,1,1,10,9,6,5,1,4
S00096790,68,3,1,2,11,8,5,3,10,10,8,5,3,10
S00096791,43,1,1,-,-,6,2,3,12,11,4,3,1,4
S00096792,55,2,-,2,5,9,2,6,10,14,6,4,2,1
S00096793,43,-,-,-,7,7,2,2,8,9,4,3,1,4
S00096794,123,1,1,-,18,26,5,8,21,29,8,5,3,7
S00096795,71,1,-,1,5,10,2,3,17,21,9,5,4,3
S00096796,47,-,-,-,9,4,1,3,11,12,6,4,2,1
S00096797,43,2,1,1,6,6,3,5,10,4,3,1,2,4
S00096798,54,1,-,1,6,9,6,4,12,10,4,1,3,2
S00096799,47,1,1,-,-,8,1,5,14,7,7,4,3,4
S00096800,61,4,-,4,18,8,2,5,11,6,2,1,1,5
S00096801,61,2,1,1,14,11,5,7,11,6,-,-,-,5
S00096802,62,8,-,8,15,14,5,2,7,5,1,1,-,5
S00096803,111,3,-,3,20,20,6,12,17,18,6,3,3,9
S00096804,87,15,3,12,16,18,7,3,10,10,3,1,2,5
S00096805,53,1,-,1,8,8,2,6,10,13,2,1,1,3
S00096806,101,3,-,3,10,9,3,8,19,13,27,13,14,9
S00096807,70,4,2,2,15,13,3,9,8,7,3,2,1,8
S00096808,92,2,-,2,13,6,6,5,20,15,10,7,3,15
S00096809,75,2,-,2,10,6,-,1,24,15,14,8,6,3
S00096810,58,-,-,-,14,9,3,5,15,8,1,1,-,3
S00096811,59,1,-,1,11,4,4,10,14,8,3,2,1,4
S00096812,113,2,1,1,12,11,7,10,25,26,4,4,-,16
S00096813,89,1,-,1,9,9,2,6,27,18,7,5,2,10
S00096814,89,3,-,3,15,17,3,18,14,5,8,7,1,6
S00096815,126,3,1,2,17,13,4,14,31,23,7,3,4,14
S00096816,119,5,1,4,13,21,5,14,26,13,11,6,5,11
S00096817,87,9,2,7,21,16,11,5,8,9,3,2,1,5
S00096818,68,3,1,2,14,11,2,6,14,9,5,3,2,4
S00096819,84,2,1,1,22,15,6,9,8,10,6,1,5,6
S00096820,100,5,-,5,26,15,12,12,12,5,3,1,2,10
S00096821,56,4,1,3,11,9,4,6,7,11,2,2,-,2
S00096822,68,3,1,2,7,13,6,7,18,8,3,1,2,3
S00096823,56,2,2,-,12,17,3,9,8,3,1,1,-,1
S00096824,83,4,2,2,13,14,6,11,16,8,5,4,1,6
S00096825,90,1,1,-,15,12,5,4,21,15,5,4,1,12
S00096826,76,4,1,3,9,13,1,10,15,13,4,3,1,7
S00096827,78,4,2,2,16,8,5,8,8,13,5,3,2,11
S00096828,80,7,2,5,11,13,6,3,20,12,5,4,1,3
S00096829,68,2,-,2,10,6,5,4,17,12,6,5,1,6
S00096830,73,4,1,3,13,12,5,4,16,12,2,2,-,5
S00096831,106,2,-,2,16,16,9,12,22,21,5,3,2,3
S00096832,70,3,1,2,17,12,8,8,8,9,2,1,1,3
S00096833,94,4,2,2,13,17,2,8,22,13,9,6,3,6
S00096834,81,5,-,5,11,15,4,11,14,14,5,2,3,2
S00096835,101,7,-,7,19,19,4,10,18,16,4,1,3,4
S00096836,58,4,2,2,11,17,3,6,11,3,1,1,-,2
S00096837,65,8,2,6,14,10,3,6,10,8,3,2,1,3
S00096838,129,2,1,1,18,23,6,13,27,25,11,5,6,4
S00096839,104,2,1,1,11,21,4,8,25,18,7,6,1,8
S00096840,102,3,-,3,19,17,8,10,18,16,5,4,1,6
S00096841,99,-,-,-,21,16,7,11,21,14,4,3,1,5
S00096842,78,1,-,1,7,8,-,12,18,16,11,7,4,5
S00096843,65,2,-,2,8,12,6,8,12,9,5,2,3,3
S00096844,88,2,-,2,8,22,6,9,16,10,6,4,2,9
S00096845,75,1,-,1,11,15,1,14,14,8,6,4,2,5
S00096846,68,2,-,2,2,16,4,6,9,12,13,3,10,4
S00096847,44,-,-,-,6,4,-,2,11,8,10,7,3,3
S00096848,74,2,-,2,3,11,1,11,13,16,17,6,11,-
S00096849,82,4,1,3,13,14,2,11,13,10,3,1,2,12
S00096850,60,2,1,1,11,11,2,6,15,9,1,1,-,3
S00096851,65,6,1,5,12,9,5,3,10,8,5,2,3,7
S00096852,56,1,-,1,7,6,2,9,12,8,6,6,-,5
S00096853,103,5,1,4,14,12,4,8,25,17,12,8,4,6
S00096854,65,-,-,-,6,8,2,6,12,19,9,1,8,3
S00096855,121,22,4,18,24,17,15,12,13,4,-,-,-,14
S00096856,121,10,1,9,21,22,8,8,13,23,6,6,-,10
S00096857,46,-,-,-,4,9,5,5,8,12,3,1,2,-
S00096858,59,-,-,-,7,11,5,1,16,10,5,4,1,4
S00096859,127,4,-,4,15,19,5,13,28,12,19,14,5,12
S00096860,74,2,1,1,14,11,3,6,17,11,4,-,4,6
S00096861,59,-,-,-,7,8,7,6,7,13,11,5,6,-
S00096862,78,2,-,2,5,10,3,6,20,10,17,6,11,5
S00096863,102,2,-,2,12,16,1,8,22,23,11,3,8,7
S00096864,67,1,-,1,1,5,6,4,21,13,11,4,7,5
S00096865,47,1,-,1,5,6,2,2,6,11,13,5,8,1
S00096866,77,1,-,1,5,7,5,8,20,16,12,6,6,3
S00096867,73,1,-,1,7,11,3,4,16,15,12,7,5,4
S00096868,50,1,-,1,6,4,-,6,9,11,10,4,6,3
S00096869,59,5,1,4,5,7,1,5,11,11,11,6,5,3
S00096870,46,1,1,-,2,3,3,4,14,12,6,4,2,1
S00096871,93,6,2,4,9,17,3,9,21,19,5,2,3,4
S00096872,128,3,-,3,28,31,5,8,21,15,9,8,1,8
S00096873,104,9,2,7,26,23,6,5,15,8,2,1,1,10
S00096874,36,2,-,2,6,5,2,5,9,2,3,2,1,2
S00096875,64,1,1,-,5,9,3,9,17,14,3,2,1,3
S00096876,79,2,-,2,8,13,3,9,18,8,7,2,5,11
S00096877,82,3,-,3,16,10,5,7,20,12,5,3,2,4
S00096878,86,3,-,3,11,5,3,12,18,14,11,6,5,9
S00096879,81,1,-,1,11,10,3,6,21,15,5,-,5,9
S00096880,98,2,-,2,15,18,10,8,19,15,7,6,1,4
S00096881,84,3,-,3,4,7,4,6,22,20,12,7,5,6
S00096882,77,-,-,-,6,10,1,9,19,19,9,4,5,4
S00096883,55,2,-,2,10,10,2,3,13,8,2,1,1,5
S00096884,64,8,2,6,13,13,8,3,4,4,4,4,-,7
S00096885,97,11,3,8,28,19,7,5,15,4,5,3,2,3
S00096886,75,4,-,4,15,15,1,8,11,9,3,2,1,9
S00096887,70,10,2,8,22,12,4,6,8,3,1,-,1,4
S00096888,65,1,-,1,9,12,3,7,13,12,4,2,2,4
S00096889,146,5,1,4,49,24,10,16,19,11,2,1,1,10
S00096890,116,5,2,3,20,19,7,9,21,20,10,7,3,5
S00096891,97,6,-,6,16,23,4,8,15,13,8,1,7,4
S00096892,60,1,-,1,5,13,5,12,10,11,3,1,2,-
S00096893,43,4,-,4,7,5,1,2,12,9,1,-,1,2
S00096894,70,-,-,-,14,10,3,7,12,14,8,2,6,2
S00096895,83,1,-,1,17,14,3,4,20,19,3,1,2,2
S00096896,93,4,3,1,8,18,3,11,19,16,8,4,4,6
S00096897,79,-,-,-,18,16,10,6,13,12,1,-,1,3
S00096898,73,8,-,8,23,15,5,6,4,9,3,1,2,-
S00096899,97,7,1,6,31,21,3,5,7,5,-,-,-,18
S00096900,88,2,-,2,17,15,4,12,14,11,6,3,3,7
S00096901,98,9,3,6,15,25,3,7,10,16,3,-,3,10
S00096902,62,7,-,7,11,10,1,7,13,9,3,2,1,1
S00096903,54,1,-,1,8,16,2,4,7,13,1,1,-,2
S00096904,96,4,-,4,14,16,3,10,22,13,6,2,4,8
S00096905,84,4,1,3,9,4,4,10,17,16,9,5,4,11
S00096906,86,3,1,2,6,18,5,10,16,9,10,5,5,9
S00096907,67,3,2,1,11,15,5,9,8,8,4,3,1,4
S00096908,131,3,2,1,29,19,9,10,23,19,5,3,2,14
S00096909,78,2,-,2,11,15,4,7,18,12,3,3,-,6
S00096910,88,1,1,-,6,12,4,15,17,19,6,4,2,8
S00096911,96,8,4,4,17,25,5,13,12,5,2,1,1,9
S00096912,130,13,1,12,28,27,8,14,16,6,4,1,3,14
S00096913,109,9,4,5,25,32,7,9,11,6,3,2,1,7
S00096914,99,10,-,10,26,21,6,8,12,9,1,-,1,6
S00096915,81,6,4,2,20,15,9,3,8,7,2,2,-,11
S00096916,127,13,2,11,25,27,13,12,17,9,3,1,2,8
S00096917,53,7,-,7,15,5,6,3,5,6,1,-,1,5
S00096918,61,5,2,3,15,18,7,1,12,3,-,-,-,-
S00096919,94,7,1,6,24,16,10,4,13,12,1,-,1,7
S00096920,86,13,1,12,18,14,8,2,10,8,2,-,2,11
S00096921,79,4,1,3,21,14,4,9,12,10,-,-,-,5
S00096922,80,7,-,7,20,16,9,7,11,3,1,-,1,6
S00096923,51,4,2,2,17,14,3,2,6,2,2,-,2,1
S00096924,48,1,1,-,7,18,3,1,7,4,2,1,1,5
S00096925,128,6,1,5,43,32,5,7,15,4,3,3,-,13
S00096926,94,7,1,6,25,20,2,9,14,10,4,3,1,3
S00096927,91,3,1,2,21,16,5,9,13,8,9,4,5,7
S00096928,75,3,-,3,15,10,4,8,15,11,4,3,1,5
