,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
S00089030,64,14,-,14,22,11,1,3,7,3,-,-,-,3
S00089031,126,18,3,15,33,13,-,9,17,12,2,2,-,22
S00089032,71,14,-,14,12,5,10,5,9,7,2,-,2,7
S00089033,85,9,-,9,20,10,7,8,13,4,-,-,-,14
S00089034,52,12,2,10,10,6,3,4,3,5,2,2,-,7
S00089035,93,14,2,12,17,9,4,6,14,10,5,3,2,14
S00089036,61,5,1,4,19,7,4,6,9,-,1,-,1,10
S00089037,79,19,-,19,18,11,1,1,7,3,2,1,1,17
S00089038,56,8,-,8,11,3,1,3,12,7,-,-,-,11
S00089039,73,8,1,7,8,7,3,4,14,11,-,-,-,18
S00089040,69,-,-,-,5,2,1,9,15,25,4,-,4,8
S00089041,138,6,2,4,23,15,4,15,26,25,15,12,3,9
S00089042,50,-,-,-,1,3,1,3,16,16,6,5,1,4
S00089043,105,1,1,-,3,11,3,14,23,29,10,4,6,11
S00089044,58,2,-,2,10,4,1,5,8,18,5,2,3,5
S00089045,53,1,-,1,7,6,2,6,14,7,7,6,1,3
S00089046,231,7,3,4,13,26,17,36,47,54,22,22,-,9
S00089047,88,9,-,9,15,13,7,14,11,10,1,1,-,8
S00089048,71,2,-,2,10,9,5,9,18,9,5,4,1,4
S00089049,108,7,1,6,14,10,8,12,18,27,2,1,1,10
S00089050,76,3,-,3,17,7,1,13,14,18,1,1,-,2
S00089051,129,10,4,6,19,19,7,11,22,29,1,1,-,11
S00089052,126,10,1,9,20,15,9,8,23,28,4,2,2,9
S00089053,92,5,-,5,11,16,1,9,17,16,10,5,5,7
S00089054,68,2,-,2,14,5,5,8,10,12,2,-,2,10
S00089055,83,4,1,3,9,5,2,14,16,19,2,-,2,12
S00089056,69,13,1,12,15,4,4,8,11,11,-,-,-,3
S00089057,81,6,2,4,10,4,1,8,11,27,4,3,1,10
S00089058,92,5,-,5,16,12,4,11,14,19,3,3,-,8
S00089059,54,1,-,1,8,9,3,7,5,13,3,1,2,5
S00089060,52,3,1,2,4,6,1,10,8,14,2,-,2,4
S00089061,64,10,1,9,11,7,3,7,5,12,2,1,1,7
S00089062,46,2,-,2,5,3,1,4,7,10,-,-,-,14
S00089063,72,5,-,5,14,3,5,3,12,12,3,1,2,15
S00089064,76,6,1,5,10,7,2,11,16,17,3,1,2,4
S00089065,87,7,1,6,16,6,-,9,18,19,3,3,-,9
S00089066,57,4,1,3,6,5,2,8,10,13,1,-,1,8
S00089067,91,2,-,2,10,14,2,9,13,23,-,-,-,18
S00089068,64,3,1,2,9,9,4,11,7,14,3,2,1,4
S00089069,50,2,-,2,8,3,5,4,8,14,3,2,1,3
S00089070,112,14,-,14,15,12,-,24,16,14,3,2,1,14
S00089071,67,3,-,3,9,8,2,6,12,22,1,1,-,4
S00089072,99,10,4,6,11,16,3,9,13,27,4,1,3,6
S00089073,89,5,1,4,13,8,5,11,15,18,6,1,5,8
S00089074,118,8,-,8,19,14,3,22,22,22,3,1,2,5
S00089075,75,6,2,4,3,5,3,13,14,24,1,-,1,6
S00089076,92,3,1,2,6,7,2,17,20,29,7,4,3,1
S00089077,78,2,1,1,14,8,2,15,8,17,1,1,-,11
S00089078,33,1,1,-,5,3,-,-,8,13,1,1,-,2
S00089079,47,1,-,1,9,4,4,2,12,10,1,1,-,4
S00089080,68,-,-,-,6,7,1,6,20,10,6,4,2,12
S00089081,63,5,1,4,8,6,1,6,14,23,-,-,-,-
S00089082,56,2,-,2,7,5,2,5,17,16,2,2,-,-
S00089083,92,1,-,1,9,10,4,10,15,32,3,3,-,8
S00089084,68,5,2,3,10,6,3,6,17,15,1,1,-,5
S00089085,86,1,-,1,11,10,6,6,26,16,4,1,3,6
S00089086,80,3,-,3,10,9,5,13,16,13,4,4,-,7
S00089087,113,1,-,1,12,14,1,12,20,34,10,5,5,9
S00089088,71,5,2,3,8,7,-,10,12,19,4,3,1,6
S00089089,89,3,-,3,14,10,3,9,23,17,3,1,2,7
S00089090,95,2,-,2,9,10,4,9,25,18,9,7,2,9
S00089091,94,-,-,-,3,10,-,9,22,24,12,10,2,14
S00089092,102,5,4,1,11,7,-,15,18,29,11,9,2,6
S00089093,121,4,1,3,12,15,6,9,24,31,11,9,2,9
S00089094,65,4,1,3,3,8,-,4,8,22,10,6,4,6
S00089095,85,1,-,1,9,7,4,10,20,25,4,3,1,5
S00089096,68,1,1,-,6,7,3,6,21,14,6,4,2,4
S00089097,68,1,-,1,6,9,1,3,16,14,10,7,3,8
S00089098,59,2,-,2,4,6,3,10,11,13,5,4,1,5
S00089099,85,6,-,6,7,7,4,9,13,24,7,3,4,8
S00089100,63,4,-,4,10,9,3,6,14,12,2,1,1,3
S00089101,61,3,-,3,9,3,3,8,14,15,5,2,3,1
S00089102,59,4,-,4,6,5,-,6,10,12,8,5,3,8
S00089103,77,6,-,6,13,4,9,7,10,20,1,1,-,7
S00089104,63,8,1,7,11,9,2,8,8,10,1,-,1,6
S00089105,87,6,1,5,20,15,3,15,10,10,5,4,1,3
S00089106,79,14,1,13,10,8,6,8,10,18,2,2,-,3
S00089107,65,2,-,2,13,6,4,9,11,16,-,-,-,4
S00089108,71,1,1,-,11,8,1,13,16,17,3,2,1,1
S00089109,47,1,1,-,7,4,4,3,12,12,1,-,1,3
S00089110,99,3,1,2,8,11,1,13,22,29,6,6,-,6
S00089111,115,3,-,3,17,15,2,15,19,33,7,4,3,4
S00089112,118,3,-,3,7,3,4,21,21,45,11,5,6,3
S00089113,36,-,-,-,4,1,-,3,10,17,1,1,-,-
S00089114,79,3,1,2,3,8,2,5,25,23,9,8,1,1
S00089115,121,3,-,3,9,4,5,18,34,29,11,7,4,8
S00089116,130,2,-,2,11,14,4,11,33,29,9,7,2,17
S00089117,92,4,-,4,8,6,2,8,18,25,18,16,2,3
S00089118,119,10,3,7,24,22,14,17,14,8,3,2,1,7
S00089119,72,3,1,2,25,9,12,7,8,6,-,-,-,2
S00089120,63,3,1,2,21,11,5,6,7,6,1,1,-,3
S00089121,109,4,-,4,17,6,9,16,18,19,10,8,2,10
