,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S00091758,171,18,3,144,0,1,1,1,3
S00091759,109,9,0,99,0,0,1,0,0
S00091760,116,26,1,80,2,0,6,0,1
S00091761,183,32,0,139,2,0,3,2,5
S00091762,165,32,0,123,2,1,1,1,5
S00091763,125,22,2,92,1,0,3,0,5
S00091764,92,11,0,81,0,0,0,0,0
S00091765,118,14,1,99,1,0,0,0,3
S00091766,103,11,0,81,0,1,2,5,3
S00091767,123,5,0,110,2,0,2,0,4
S00091768,150,14,0,127,1,0,2,1,5
S00091769,148,14,0,120,1,5,6,0,2
S00091770,183,19,1,159,0,0,1,0,3
S00091771,130,11,3,109,0,0,0,3,4
S00091772,161,11,1,143,0,0,0,3,3
S00091773,126,12,0,112,1,0,1,0,0
S00091774,97,18,0,75,0,1,1,0,2
S00091775,107,20,1,81,0,1,3,0,1
S00091776,91,11,1,75,0,0,0,3,1
S00091777,95,30,1,62,1,0,0,0,1
S00091778,115,10,0,99,0,0,1,3,2
S00091779,191,24,0,160,1,0,0,1,5
S00091780,126,8,1,113,1,0,0,0,3
S00091781,106,8,1,96,0,1,0,0,0
S00091782,108,6,1,99,0,0,0,0,2
S00091783,112,9,0,98,1,0,1,0,3
S00091784,122,14,3,103,0,0,1,0,1
S00091785,169,29,0,131,2,1,2,0,4
S00091786,93,30,0,60,1,0,0,0,2
S00091787,113,30,0,78,0,0,0,4,1
S00091788,106,11,0,95,0,0,0,0,0
S00091789,127,11,0,115,1,0,0,0,0
S00091790,139,8,0,127,1,0,0,0,3
S00091791,95,6,0,86,1,0,1,0,1
S00091792,87,8,1,76,0,0,0,0,2
S00091793,126,19,1,97,1,2,0,2,4
S00091794,132,14,3,100,0,0,1,8,6
S00091795,134,23,0,103,1,2,2,0,3
S00091796,129,6,0,114,0,0,2,0,7
S00091797,120,19,0,95,1,0,0,2,3
S00091798,130,15,1,112,0,1,0,0,1
S00091799,100,12,0,82,1,0,1,0,4
S00091800,160,26,2,127,0,0,1,0,4
S00091801,108,18,1,86,1,0,1,0,1
S00091802,50,5,0,45,0,0,0,0,0
S00091803,132,12,0,119,0,0,1,0,0
S00091804,127,7,0,118,0,0,0,0,2
S00091805,108,10,1,92,1,0,3,0,1
S00091806,149,16,0,126,1,0,2,2,2
S00091807,217,9,5,199,0,0,0,0,4
S00091808,113,3,0,107,0,0,0,3,0
S00091809,120,10,0,107,0,0,0,0,3
S00091810,176,16,0,154,0,0,3,1,2
S00091811,122,8,0,113,0,0,1,0,0
S00091812,144,15,0,126,1,0,0,0,2
S00091813,120,17,0,101,0,0,1,0,1
S00091814,95,5,0,89,0,0,0,0,1
S00091815,128,6,0,114,1,1,2,2,2
S00091816,115,15,0,96,0,0,3,1,0
S00091817,148,9,0,134,2,1,1,0,1
S00091818,152,24,3,121,1,0,1,0,2
S00091819,108,8,2,94,2,1,0,0,1
S00091820,76,20,0,48,1,0,1,0,6
S00091821,163,20,1,133,2,1,2,3,1
S00091822,73,15,0,56,0,1,0,0,1
S00091823,139,25,0,108,1,0,0,1,4
S00091824,120,12,0,102,0,2,0,2,2
S00091825,116,21,1,90,0,0,2,0,2
S00091826,145,33,0,109,0,2,0,0,1
S00091827,76,8,1,64,0,0,1,0,2
S00091828,130,17,1,110,1,0,1,0,0
S00091829,107,8,3,87,0,0,1,3,5
S00091830,61,7,0,54,0,0,0,0,0
S00091831,143,5,0,126,1,0,1,4,6
S00091832,99,13,0,83,1,1,1,0,0
S00091833,103,6,0,93,1,0,0,0,3
S00091834,116,11,1,101,0,0,0,1,2
S00091835,175,9,0,162,0,0,3,0,1
S00091836,113,5,0,107,0,0,0,0,1
S00091837,124,14,0,107,0,1,2,0,0
S00091838,155,8,1,137,1,0,4,0,4
S00091839,140,4,0,131,1,0,1,0,3
S00091840,148,13,0,127,0,0,1,2,5
S00091841,127,10,1,115,0,0,0,0,1
S00091842,109,4,0,99,0,0,0,0,6
S00091843,95,3,0,86,1,0,2,0,3
S00091844,164,24,2,133,0,1,1,1,2
S00091845,148,22,0,122,1,0,1,1,1
S00091846,117,6,0,105,0,0,1,0,5
S00091847,124,15,0,104,0,0,0,2,3
S00091848,137,7,0,120,1,0,1,5,3
S00091849,63,7,0,52,1,0,0,3,0
S00091850,184,21,1,144,1,1,1,14,1
S00091851,61,5,0,52,0,0,0,1,3
S00091852,126,7,1,109,0,0,3,4,2
S00091853,102,16,0,80,0,1,0,4,1
S00091854,85,8,1,71,2,0,2,0,1
S00091855,92,14,0,70,0,0,2,2,4
S00091856,113,9,0,100,1,0,0,2,1
S00091857,121,6,0,114,1,0,0,0,0
S00091858,116,17,0,96,1,1,1,0,0
S00091859,199,18,0,170,0,0,2,4,5
S00091860,147,4,1,141,0,0,0,0,1
S00091861,103,2,0,91,1,0,0,8,1
S00091862,92,24,0,63,1,0,2,0,2
S00091863,133,13,2,106,0,0,5,4,3
S00091864,183,18,0,152,0,0,3,4,6
S00091865,53,2,0,48,2,0,0,0,1
S00091866,114,13,1,98,0,0,0,0,2
S00091867,93,9,0,79,0,0,2,2,1
S00091868,104,12,0,89,1,0,0,1,1
S00091869,98,21,0,72,2,0,0,0,3
S00091870,172,23,4,135,1,0,1,1,7
S00091871,119,5,0,101,1,1,2,4,5
S00091872,154,9,1,144,0,0,0,0,0
S00091873,157,10,0,135,1,0,4,1,6
S00091874,172,7,0,153,0,1,2,7,2
S00091875,128,9,1,116,0,0,1,0,1
S00091876,95,12,0,79,0,0,2,0,2
S00091877,63,3,0,55,0,0,1,2,2
S00091878,110,12,1,88,0,0,1,8,0
S00091879,162,18,0,139,0,0,0,3,2
S00091880,72,2,0,69,0,0,1,0,0
S00091881,180,16,2,154,0,0,0,5,3
S00091882,66,2,0,60,0,0,0,2,2
S00091883,128,11,0,112,1,0,0,1,3
S00091884,150,4,0,143,0,0,2,0,1
S00091885,173,3,0,156,0,1,2,8,3
S00091886,113,4,0,102,0,0,0,5,2
S00091887,151,11,3,129,0,1,0,3,4
S00091888,174,16,0,151,0,0,1,4,2
S00091889,63,2,0,58,0,0,0,0,3
S00091890,55,2,1,50,0,0,0,0,2
S00091891,175,12,1,159,0,0,0,0,3
S00091892,92,2,0,89,0,0,0,1,0
S00091893,85,2,0,78,0,0,0,5,0
S00091894,89,9,0,70,0,0,0,9,1
S00091895,85,5,1,68,0,0,0,7,4
S00091896,146,5,1,131,1,0,0,6,2
S00091897,157,10,1,146,0,0,0,0,0
S00091898,91,7,1,76,0,0,1,5,1
S00091899,117,11,0,93,0,0,1,12,0
S00091900,146,16,0,119,0,0,2,7,2
S00091901,66,1,1,58,1,0,0,3,2
S00091902,117,7,0,97,0,0,1,8,4
S00091903,84,9,0,65,0,0,1,8,1
S00091904,71,5,0,63,0,0,3,0,0
S00091905,235,17,1,204,0,0,2,6,5
S00091906,153,4,0,146,0,0,0,1,2
S00091907,137,2,0,123,2,0,3,5,2
S00091908,115,9,0,101,1,0,1,3,0
S00091909,91,8,1,78,0,0,1,0,3
S00091910,58,8,0,45,0,0,0,0,5
S00091911,99,4,0,89,0,0,0,5,1
S00091912,107,5,0,91,1,0,2,8,0
S00091913,175,16,0,154,1,1,0,2,1
S00091914,125,7,0,91,0,0,0,18,9
S00091915,142,4,0,106,0,0,1,30,1
S00091916,119,3,0,99,0,0,2,12,3
S00091917,117,16,0,92,0,0,0,9,0
S00091918,83,10,3,61,0,0,0,8,1
S00091919,90,12,0,69,2,0,1,5,1
S00091920,113,10,3,95,0,0,0,4,1
S00091921,129,15,0,110,0,0,0,0,4
S00091922,117,10,2,99,0,1,1,3,1
S00091923,133,11,0,119,0,0,0,0,3
S00091924,122,12,0,108,1,0,0,1,0
S00091925,136,15,0,100,1,0,2,16,2
S00091926,81,1,0,70,0,0,1,6,3
S00091927,207,15,0,157,0,0,0,27,8
S00091928,148,9,0,111,0,0,1,19,8
S00091929,130,10,3,96,0,0,1,19,1
S00091930,97,3,1,73,0,0,2,17,1
S00091931,99,7,2,81,1,0,0,8,0
S00091932,117,7,0,94,0,0,0,16,0
S00091933,87,1,0,77,0,0,0,9,0
S00091934,89,7,0,68,0,1,1,12,0
S00091935,146,15,2,103,1,1,1,18,5
S00091936,112,3,0,82,0,0,1,25,1
S00091937,113,5,0,100,0,0,0,8,0
S00091938,197,16,0,162,2,1,1,11,4
S00091939,125,10,0,91,0,0,3,20,1
S00091940,119,19,3,72,0,0,2,21,2
S00091941,176,12,0,150,2,0,1,2,9
S00091942,91,6,0,68,0,0,0,15,2
S00091943,121,6,0,92,0,0,1,19,3
S00091944,79,9,0,54,0,0,0,16,0
S00091945,91,9,1,72,0,1,0,8,0
S00091946,111,7,0,71,0,0,1,20,12
S00091947,77,6,0,54,0,0,0,17,0
S00091948,103,11,1,84,1,0,0,2,4
S00091949,88,9,0,58,0,0,0,18,3
S00091950,202,14,3,136,0,0,1,44,4
S00091951,59,9,2,46,0,0,1,0,1
S00091952,102,6,0,70,0,0,0,21,5
S00091953,143,12,0,118,0,0,4,7,2
S00091954,131,7,4,105,0,0,1,12,2
S00091955,81,6,0,38,1,0,0,29,7
S00091956,105,2,0,60,1,1,1,39,1
S00091957,116,5,1,85,1,1,3,19,1
S00091958,68,3,0,32,0,0,1,29,3
S00091959,86,8,1,66,1,0,0,8,2
S00091960,89,7,0,71,0,0,2,6,3
S00091961,104,7,0,66,0,0,1,21,9
S00091962,83,10,0,59,1,0,7,5,1
S00091963,71,5,1,39,0,0,2,20,4
S00091964,88,9,0,66,0,0,0,12,1
S00091965,83,15,0,55,0,0,0,12,1
S00091966,78,6,0,41,0,1,1,13,16
S00091967,76,4,0,31,1,0,0,37,3
S00091968,81,6,0,33,2,0,1,36,3
S00091969,51,6,1,42,0,0,0,0,2
S00091970,113,9,2,90,0,1,0,8,3
S00091971,123,10,0,100,1,0,0,10,2
S00091972,119,8,1,110,0,0,0,0,0
S00091973,94,4,2,83,0,0,5,0,0
S00091974,78,5,0,66,0,0,0,4,3
S00091975,127,16,4,102,0,0,2,0,3
S00091976,169,22,3,135,2,1,3,1,2
S00091977,64,9,0,54,0,0,1,0,0
S00091978,299,22,1,264,1,1,5,2,3
S00091979,63,4,0,58,1,0,0,0,0
S00091980,71,12,0,56,1,0,0,0,2
S00091981,128,21,0,95,1,0,0,10,1
S00091982,128,18,0,100,1,0,3,3,3
S00091983,92,9,0,77,0,2,3,0,1
S00091984,128,21,1,103,1,0,0,2,0
S00091985,105,18,0,81,1,0,0,1,4
S00091986,101,5,0,95,0,1,0,0,0
S00091987,99,2,1,96,0,0,0,0,0
S00091988,57,3,1,51,0,0,2,0,0
S00091989,76,8,0,68,0,0,0,0,0
S00091990,101,10,0,87,0,0,0,0,4
S00091991,84,7,3,71,0,1,1,0,1
S00091992,118,8,0,108,0,0,0,0,2
S00091993,148,11,0,136,1,0,0,0,0
S00091994,183,14,1,155,2,0,2,8,1
S00091995,109,12,0,93,1,0,1,1,1
S00091996,166,18,0,145,0,0,1,0,2
S00091997,75,1,0,70,1,0,1,2,0
S00091998,107,17,0,87,2,0,1,0,0
S00091999,173,14,0,150,3,1,1,0,4
S00092000,108,14,0,87,0,0,2,1,4
S00092001,85,12,0,69,0,0,3,0,1
S00092002,90,7,0,82,0,0,1,0,0
S00092003,139,17,1,115,0,0,2,3,1
S00092004,177,10,1,160,2,0,2,0,2
S00092005,191,14,0,172,0,0,1,0,4
S00092006,137,12,1,122,0,0,0,0,2
S00092007,83,9,0,68,0,0,5,0,1
S00092008,142,17,0,120,1,0,2,0,2
S00092009,134,17,3,110,2,0,1,0,1
S00092010,75,11,0,52,2,0,1,7,2
S00092011,77,6,1,66,0,0,0,4,0
S00092012,175,18,0,134,0,2,2,16,3
S00092013,152,5,0,143,0,0,0,1,3
S00092014,100,7,0,85,0,0,1,4,3
S00092015,173,11,0,159,3,0,0,0,0
S00092016,156,8,0,140,0,1,5,2,0
S00092017,140,6,0,131,0,0,0,0,3
S00092018,130,11,0,111,0,0,0,7,1
S00092019,96,7,0,85,1,0,0,1,2
S00092020,134,11,1,108,1,0,3,5,5
S00092021,76,6,0,57,0,0,1,11,1
S00092022,129,8,0,98,1,0,0,20,2
S00092023,67,1,0,63,0,0,0,2,1
S00092024,124,4,0,97,1,0,1,21,0
S00092025,136,2,0,118,0,1,0,13,2
S00092026,132,13,0,118,0,0,0,0,1
S00092027,116,5,0,106,0,0,0,5,0
S00092028,61,3,0,55,0,0,0,1,2
S00092029,86,5,0,57,0,0,0,21,3
S00092030,69,11,1,54,1,0,0,2,0
S00092031,117,13,0,99,0,0,0,4,1
S00092032,148,17,0,124,1,0,2,2,2
S00092033,59,9,1,44,0,0,0,0,5
S00092034,112,27,0,84,0,0,1,0,0
S00092035,87,14,0,72,0,0,1,0,0
S00092036,87,12,0,69,1,0,1,2,2
S00092037,161,13,0,134,1,0,0,7,6
S00092038,188,22,0,156,1,0,2,4,3
S00092039,152,17,1,120,2,0,0,12,0
S00092040,108,9,1,91,0,0,2,1,4
S00092041,103,21,0,77,0,0,0,5,0
S00092042,148,11,0,134,0,0,2,1,0
S00092043,141,10,2,126,0,0,0,0,3
S00092044,116,9,0,101,1,0,0,0,5
S00092045,156,10,0,142,1,0,3,0,0
S00092046,155,23,0,127,2,0,0,0,3
S00092047,113,11,0,99,1,2,0,0,0
S00092048,250,19,1,218,1,0,1,1,9
S00092049,168,22,2,137,0,0,0,3,4
S00092050,165,12,1,147,0,0,1,4,0
S00092051,157,18,0,137,0,0,0,1,1
S00092052,138,9,0,122,2,0,1,1,3
S00092053,99,12,0,81,0,0,0,5,1
S00092054,82,6,0,72,1,0,1,1,1
S00092055,124,10,0,106,0,0,0,7,1
S00092056,107,13,2,84,0,0,0,5,3
S00092057,99,10,1,85,0,0,1,0,2
S00092058,155,13,0,134,2,0,0,5,1
S00092059,136,10,2,123,0,0,0,0,1
S00092060,121,13,0,106,0,0,1,0,1
S00092061,88,6,0,72,0,0,2,5,3
S00092062,162,13,0,126,0,1,2,18,2
S00092063,115,2,0,100,0,0,1,12,0
S00092064,98,6,0,85,0,0,0,4,3
S00092065,71,5,1,62,0,0,1,0,2
S00092066,131,12,1,108,1,1,1,5,2
S00092067,162,16,0,127,1,0,3,11,4
S00092068,118,12,0,99,0,0,0,4,3
S00092069,91,5,1,71,0,0,1,12,1
S00092070,85,14,0,70,1,0,0,0,0
S00092071,117,13,0,97,1,0,3,0,3
S00092072,102,14,0,69,0,0,0,16,3
S00092073,111,19,1,86,1,0,0,0,4
S00092074,100,5,1,85,1,0,0,6,2
S00092075,61,12,1,40,0,0,0,7,1
S00092076,117,14,0,76,1,0,1,21,4
S00092077,141,19,1,93,0,0,1,26,1
S00092078,88,6,2,62,0,0,2,10,6
S00092079,66,6,0,58,1,0,1,0,0
S00092080,92,11,1,65,0,0,2,9,4
S00092081,104,25,0,70,1,0,0,5,3
S00092082,142,21,0,118,0,0,0,0,3
S00092083,63,6,0,54,0,0,1,0,2
S00092084,88,6,1,76,0,0,1,2,2
S00092085,99,4,0,94,0,0,0,0,1
S00092086,91,5,1,80,1,0,1,0,3
S00092087,145,5,1,139,0,0,0,0,0
S00092088,104,17,0,75,1,0,0,10,1
S00092089,99,17,0,76,0,0,1,4,1
S00092090,156,28,1,100,0,0,1,26,0
S00092091,145,19,0,92,4,0,1,26,3
S00092092,115,14,0,87,0,0,2,11,1
S00092093,101,14,0,77,1,0,0,0,9
S00092094,134,15,0,114,0,0,1,2,2
S00092095,87,10,0,76,0,1,0,0,0
S00092096,115,3,1,110,0,0,0,0,1
S00092097,168,20,0,147,0,0,0,0,1
S00092098,128,7,0,114,1,0,2,3,1
S00092099,198,7,1,184,0,1,0,3,2
S00092100,164,7,0,149,1,1,0,6,0
S00092101,108,9,1,96,0,0,0,2,0
S00092102,103,6,1,91,0,0,1,4,0
S00092103,107,8,0,95,0,0,0,0,4
S00092104,111,12,0,96,0,0,0,2,1
S00092105,112,12,0,96,0,0,0,2,2
S00092106,131,3,2,122,0,0,0,4,0
S00092107,107,7,0,89,1,0,2,8,0
S00092108,108,10,1,92,0,0,0,3,2
S00092109,96,10,0,79,1,0,3,1,2
S00092110,125,8,0,115,0,0,0,0,2
S00092111,126,1,1,122,0,0,1,0,1
S00092112,107,4,0,99,0,0,0,2,2
S00092113,84,34,1,44,0,0,2,0,3
S00092114,55,13,1,36,0,0,0,3,2
S00092115,137,19,0,118,0,0,0,0,0
S00092116,184,30,1,144,2,0,1,6,0
S00092117,76,2,0,70,1,0,1,0,2
S00092118,108,4,0,97,0,0,0,1,6
S00092119,110,11,0,96,0,2,1,0,0
S00092120,78,3,0,73,0,0,0,0,2
S00092121,94,14,0,77,1,0,0,0,2
S00092122,74,4,0,64,0,0,1,3,2
S00092123,113,11,0,96,3,0,1,0,2
S00092124,69,4,0,63,0,0,0,2,0
S00092125,112,15,0,92,0,1,1,0,3
S00092126,85,9,0,73,1,0,1,1,0
S00092127,79,10,0,68,1,0,0,0,0
S00092128,91,16,0,73,0,0,1,0,1
S00092129,140,14,0,119,1,1,2,3,0
S00092130,126,20,0,100,2,1,0,0,3
S00092131,151,21,1,121,0,1,1,6,0
S00092132,103,8,0,92,0,0,1,1,1
S00092133,156,9,0,137,0,0,0,7,3
S00092134,108,8,0,87,0,0,1,12,0
S00092135,175,5,0,167,1,0,0,2,0
S00092136,125,7,0,114,1,0,1,2,0
S00092137,83,3,1,77,0,0,0,2,0
S00092138,152,7,0,131,1,0,3,9,1
S00092139,93,1,0,80,0,0,2,8,2
S00092140,155,10,0,120,0,0,1,18,6
S00092141,52,3,1,46,0,0,1,0,1
S00092142,82,3,0,79,0,0,0,0,0
S00092143,96,2,0,93,0,0,0,1,0
S00092144,155,5,1,133,0,1,0,14,1
S00092145,75,0,2,66,0,0,1,0,6
S00092146,109,4,0,105,0,0,0,0,0
S00092147,157,6,0,147,0,0,0,3,1
S00092148,182,4,0,166,0,0,0,10,2
S00092149,118,4,0,101,0,0,1,10,2
S00092150,82,2,0,79,0,0,1,0,0
S00092151,140,4,0,128,0,0,0,4,4
S00092152,74,6,0,60,0,0,0,7,1
S00092153,157,5,0,137,0,0,1,11,3
S00092154,96,3,0,91,0,1,0,0,1
S00092155,90,6,0,82,1,0,0,0,1
S00092156,66,3,0,56,0,0,0,4,3
S00092157,137,8,0,123,0,0,1,4,1
S00092158,138,6,0,130,0,0,0,2,0
S00092159,114,4,0,99,1,0,0,9,1
S00092160,101,3,0,92,0,0,0,4,2
S00092161,152,9,0,130,0,0,2,11,0
S00092162,128,4,1,114,0,0,3,3,3
S00092163,195,6,0,159,0,0,0,23,7
S00092164,77,5,1,68,0,0,0,0,3
S00092165,144,7,0,130,0,2,0,2,3
S00092166,68,1,1,65,0,0,0,0,1
S00092167,91,1,0,86,0,0,1,0,3
S00092168,132,8,0,105,1,0,0,15,3
S00092169,85,3,0,65,0,0,2,15,0
S00092170,132,9,0,84,1,0,8,30,0
S00092171,113,11,0,86,0,0,1,11,4
S00092172,161,8,0,116,0,0,1,31,5
S00092173,193,8,1,144,0,2,0,37,1
S00092174,167,5,1,123,1,0,2,24,11
S00092175,132,9,0,122,0,0,1,0,0
S00092176,129,1,0,103,1,0,1,18,5
S00092177,164,15,3,120,0,1,1,19,5
S00092178,99,10,0,56,0,0,1,30,2
S00092179,148,4,0,112,0,0,2,27,3
S00092180,160,13,0,101,2,1,5,37,1
S00092181,59,5,0,53,0,0,0,0,1
S00092182,122,3,1,42,0,0,6,62,8
S00092183,144,6,0,101,0,1,2,31,3
S00092184,170,4,0,94,1,0,4,66,1
S00092185,145,8,0,77,1,0,1,53,5
S00092186,72,5,0,63,0,0,0,3,1
S00092187,153,9,1,128,0,0,0,12,3
S00092188,51,4,0,45,1,0,0,0,1
S00092189,78,4,0,51,0,1,0,19,3
S00092190,157,11,1,120,1,0,9,7,8
S00092191,160,6,1,152,0,0,1,0,0
S00092192,75,2,0,65,0,0,1,2,5
S00092193,153,7,0,118,0,0,3,15,10
S00092194,190,10,0,170,0,0,1,9,0
S00092195,161,0,2,155,0,0,0,2,2
S00092196,136,5,0,101,2,1,5,20,2
S00092197,163,9,0,136,1,0,2,13,2
S00092198,131,12,0,112,0,0,0,6,1
S00092199,75,3,0,65,0,0,0,5,2
S00092200,65,1,0,59,0,0,1,4,0
S00092201,98,4,0,91,0,0,0,3,0
S00092202,168,5,0,161,1,0,1,0,0
S00092203,153,4,0,146,0,0,0,3,0
S00092204,143,5,0,135,0,0,0,2,1
S00092205,112,4,0,107,0,0,0,0,1
S00092206,120,3,0,115,0,0,0,0,2
S00092207,156,3,2,147,0,0,1,2,1
S00092208,86,0,0,86,0,0,0,0,0
S00092209,184,19,1,164,0,0,0,0,0
S00092210,117,10,0,104,1,0,1,0,1
S00092211,108,15,1,90,1,0,0,0,1
S00092212,93,4,0,86,2,0,0,1,0
S00092213,159,12,0,133,1,0,3,8,2
S00092214,156,6,0,145,0,0,0,4,1
S00092215,115,12,0,84,0,0,3,15,1
S00092216,124,9,1,106,0,0,2,3,3
S00092217,97,6,0,87,0,1,3,0,0
S00092218,134,27,0,102,1,0,1,0,3
S00092219,97,14,0,68,2,0,1,6,6
S00092220,64,11,0,48,0,0,1,4,0
S00092221,110,17,2,76,1,1,4,1,8
S00092222,105,11,3,87,0,1,0,0,3
S00092223,149,10,0,125,0,0,0,1,13
S00092224,71,4,0,67,0,0,0,0,0
S00092225,101,7,0,88,1,0,0,0,5
S00092226,187,14,1,164,0,0,2,0,6
S00092227,153,18,0,129,0,0,1,0,5
S00092228,141,12,0,122,0,0,1,0,6
S00092229,122,5,2,108,2,1,1,0,3
S00092230,109,7,0,95,4,0,0,0,3
S00092231,134,10,0,120,2,0,0,0,2
S00092232,83,4,0,78,0,0,0,0,1
S00092233,132,34,4,86,0,0,0,1,7
S00092234,61,11,0,49,1,0,0,0,0
S00092235,110,28,1,77,3,0,1,0,0
S00092236,109,17,1,69,3,1,3,6,9
S00092237,128,23,1,103,0,0,0,0,1
S00092238,83,29,2,47,0,0,0,0,5
S00092239,212,28,3,173,1,0,2,0,5
S00092240,132,6,0,121,1,0,0,0,4
S00092241,102,7,0,91,0,0,0,0,4
S00092242,128,14,0,105,1,0,1,1,6
S00092243,60,4,0,50,0,0,0,0,6
S00092244,61,7,0,50,1,0,0,1,2
S00092245,109,13,0,87,1,0,0,0,8
S00092246,116,9,2,101,0,0,0,3,1
S00092247,86,1,0,85,0,0,0,0,0
S00092248,94,10,0,81,0,0,1,0,2
S00092249,95,5,0,87,0,0,0,1,2
S00092250,76,5,0,65,0,0,0,0,6
S00092251,66,2,1,60,0,0,0,0,3
S00092252,177,38,0,136,0,0,1,1,1
S00092253,157,7,1,127,0,0,1,12,9
S00092254,79,7,0,71,0,0,1,0,0
S00092255,120,4,1,112,0,0,0,0,3
S00092256,161,19,0,133,3,2,1,1,2
S00092257,60,7,0,52,1,0,0,0,0
S00092258,142,12,0,113,0,0,1,10,6
S00092259,130,11,0,113,2,0,2,0,2
S00092260,102,6,1,90,1,0,1,0,3
S00092261,97,7,0,83,1,0,1,5,0
S00092262,165,25,4,123,0,3,2,0,8
S00092263,97,15,1,75,1,0,1,0,4
S00092264,101,15,0,77,0,0,0,0,9
S00092265,116,15,0,88,3,0,2,0,8
S00092266,161,27,2,127,0,0,2,0,3
S00092267,135,29,0,98,0,0,2,0,6
S00092268,123,11,1,108,0,0,2,0,1
S00092269,78,3,0,71,1,0,0,0,3
S00092270,55,4,0,49,1,0,1,0,0
S00092271,108,4,0,98,1,0,0,3,2
S00092272,107,2,0,96,0,0,1,6,2
S00092273,62,7,0,52,0,0,0,3,0
S00092274,186,27,0,148,3,0,1,0,7
S00092275,99,9,1,85,1,0,0,0,3
S00092276,63,8,0,53,0,1,1,0,0
S00092277,116,34,1,70,2,0,0,0,9
S00092278,111,10,1,97,0,0,0,0,3
S00092279,74,3,0,67,0,0,1,0,3
S00092280,87,12,1,72,0,1,0,0,1
S00092281,75,4,1,65,0,0,0,3,2
S00092282,63,15,0,46,0,0,2,0,0
S00092283,161,5,0,152,0,0,1,0,3
S00092284,102,3,0,89,3,1,0,3,3
S00092285,71,6,0,63,0,0,0,0,2
S00092286,84,2,0,81,0,0,1,0,0
S00092287,57,5,0,47,1,0,0,0,4
S00092288,88,4,0,80,1,0,0,3,0
S00092289,130,6,0,116,2,1,0,2,3
S00092290,74,3,0,66,0,0,0,5,0
S00092291,121,3,0,114,0,0,0,1,3
S00092292,90,8,0,56,1,0,2,20,3
S00092293,70,6,1,51,0,1,2,8,1
S00092294,50,5,2,39,1,0,0,3,0
S00092295,96,12,0,69,0,0,1,14,0
S00092296,81,3,0,78,0,0,0,0,0
S00092297,112,8,2,93,0,0,0,9,0
S00092298,133,7,0,121,1,0,0,0,4
S00092299,70,6,0,55,0,0,1,0,8
S00092300,102,4,1,94,1,0,1,0,1
S00092301,65,8,0,56,0,0,0,0,1
S00092302,110,4,2,104,0,0,0,0,0
S00092303,94,9,0,82,0,0,0,2,1
S00092304,115,4,0,101,0,0,0,6,4
S00092305,123,6,0,107,1,0,1,7,1
S00092306,96,2,0,86,0,0,0,8,0
S00092307,165,16,0,143,0,0,0,4,2
S00092308,56,6,0,48,0,0,2,0,0
S00092309,66,17,0,44,0,0,0,4,1
S00092310,75,5,0,69,0,1,0,0,0
S00092311,135,4,0,122,1,0,3,4,1
S00092312,136,26,0,103,0,1,4,1,1
S00092313,116,15,0,97,0,0,0,4,0
S00092314,102,29,1,69,0,0,0,0,3
S00092315,59,12,0,44,1,0,1,0,1
S00092316,135,5,4,126,0,0,0,0,0
S00092317,154,10,3,138,0,0,0,0,3
S00092318,170,8,0,83,0,1,0,73,5
S00092319,111,1,1,107,0,0,0,2,0
S00092320,56,8,0,39,0,0,0,7,2
S00092321,78,6,1,65,1,0,0,4,1
S00092322,90,4,0,82,0,0,0,4,0
S00092323,180,17,0,140,1,2,0,10,10
S00092324,145,5,0,139,0,1,0,0,0
S00092325,84,23,0,50,1,1,1,1,7
S00092326,112,7,0,105,0,0,0,0,0
S00092327,103,16,0,83,1,0,0,0,3
S00092328,79,0,0,78,0,0,1,0,0
S00092329,185,7,1,167,1,1,1,5,2
S00092330,151,19,0,118,1,0,1,0,12
S00092331,159,41,2,111,0,1,0,0,4
S00092332,183,24,0,132,0,0,0,18,9
S00092333,191,31,1,135,0,0,1,0,23
S00092334,166,10,1,139,0,1,2,5,8
S00092335,188,18,1,157,0,0,4,1,7
S00092336,162,34,0,115,2,1,3,0,7
S00092337,131,18,3,91,1,2,5,1,10
S00092338,140,14,1,109,2,0,5,0,9
S00092339,132,18,0,89,1,0,3,1,20
S00092340,162,12,2,135,3,0,1,0,9
S00092341,220,26,0,181,0,0,0,0,13
S00092342,137,25,0,103,0,1,0,0,8
S00092343,94,14,0,78,1,0,0,0,1
S00092344,243,19,3,198,0,0,4,4,15
S00092345,169,10,1,135,1,0,0,0,22
S00092346,194,17,0,157,0,0,2,0,18
S00092347,217,28,2,157,0,0,6,6,18
S00092348,155,13,0,122,0,0,1,0,19
S00092349,151,15,0,121,0,0,5,0,10
S00092350,128,20,0,99,3,0,3,0,3
S00092351,113,22,1,85,1,1,1,1,1
S00092352,94,16,0,74,0,1,2,0,1
S00092353,201,19,0,170,0,1,2,0,9
S00092354,118,11,0,103,0,0,4,0,0
S00092355,69,16,0,46,2,0,3,0,2
S00092356,164,17,1,144,1,0,1,0,0
S00092357,90,18,1,62,1,0,5,2,1
S00092358,127,34,1,87,0,2,1,0,2
S00092359,78,5,3,59,3,0,2,5,1
S00092360,126,15,1,104,0,1,2,0,3
S00092361,121,21,0,94,1,0,2,0,3
S00092362,158,44,1,101,0,0,5,0,7
