,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S00089090,126,4,3,101,0,0,2,14,2
S00089091,150,7,1,125,0,0,1,12,4
S00089092,171,11,0,136,0,0,0,16,8
S00089093,166,11,1,124,0,0,0,19,11
S00089094,90,0,0,76,1,0,1,10,2
S00089095,119,5,0,96,0,0,0,14,4
S00089096,97,3,0,85,1,0,1,4,3
S00089097,83,4,0,67,1,0,0,9,2
S00089098,82,3,1,57,0,0,0,20,1
S00089099,120,9,0,80,1,1,1,25,3
S00089100,101,4,1,87,0,0,1,5,3
S00089101,75,10,1,51,0,0,1,11,1
S00089102,86,0,0,59,1,0,1,23,2
S00089103,89,8,0,47,1,0,1,29,3
S00089104,67,5,0,50,0,2,0,8,2
S00089105,96,8,0,76,0,0,0,2,10
S00089106,89,14,0,56,1,2,4,7,5
S00089107,82,2,0,68,0,0,0,8,4
S00089108,92,9,1,76,0,0,0,6,0
S00089109,60,3,0,41,0,0,1,7,8
S00089110,109,2,0,94,1,0,1,7,4
S00089111,147,7,1,118,0,0,1,17,3
S00089112,151,7,0,93,1,0,1,47,2
S00089113,64,4,0,60,0,0,0,0,0
S00089114,117,5,0,107,0,0,1,4,0
S00089115,154,6,0,116,1,0,2,24,5
S00089116,206,9,1,154,1,0,2,34,5
S00089117,125,7,0,91,0,0,3,21,3
S00089118,145,7,0,131,0,0,1,2,4
S00089119,87,7,0,76,2,0,1,0,1
S00089120,77,6,0,62,0,0,1,1,7
S00089121,173,14,0,126,0,0,5,21,7
S00089122,65,2,0,61,0,0,0,2,0
S00089123,151,4,0,138,0,0,0,9,0
S00089124,105,6,0,95,0,0,0,0,4
S00089125,164,5,0,143,1,0,0,4,11
S00089126,116,2,0,106,0,1,0,5,2
S00089127,93,3,0,76,0,0,0,13,1
S00089128,97,1,0,95,0,0,0,1,0
S00089129,197,14,0,160,0,1,5,2,15
S00089130,93,2,0,81,0,0,0,2,8
S00089131,102,6,1,91,0,0,0,0,4
S00089132,87,5,0,77,0,0,0,0,5
S00089133,87,3,0,79,0,0,1,0,4
S00089134,129,4,0,121,0,2,0,2,0
S00089135,144,11,0,126,1,0,0,0,6
S00089136,112,6,0,101,0,0,0,0,5
S00089137,109,13,1,82,0,0,0,4,9
S00089138,55,4,0,48,0,0,1,0,2
S00089139,86,7,0,74,0,0,2,0,3
S00089140,100,6,1,82,1,0,1,3,6
S00089141,120,8,0,100,0,0,0,0,12
S00089142,137,15,0,107,0,0,1,6,8
S00089143,105,8,0,78,0,0,2,9,8
S00089144,91,2,0,85,0,0,0,0,4
S00089145,127,3,0,114,0,0,1,2,7
S00089146,117,0,0,106,0,0,0,4,7
S00089147,96,6,1,79,0,2,2,3,3
S00089148,123,4,0,105,0,0,1,9,4
S00089149,124,4,0,96,2,0,1,12,9
S00089150,151,14,0,114,0,3,3,5,12
S00089151,61,4,0,54,0,0,0,0,3
S00089152,54,1,0,48,1,0,1,2,1
S00089153,63,3,0,59,0,0,1,0,0
S00089154,72,3,0,65,0,0,0,3,1
S00089155,84,6,0,77,0,0,1,0,0
S00089156,129,5,1,110,0,0,0,7,6
S00089157,105,2,1,100,0,1,0,0,1
S00089158,136,6,0,127,0,0,2,0,1
S00089159,90,5,1,80,0,0,0,0,4
S00089160,112,2,1,104,0,0,0,0,5
S00089161,95,2,1,89,0,0,0,3,0
S00089162,77,4,0,70,1,0,0,0,2
S00089163,115,6,0,99,0,0,3,0,7
S00089164,78,3,0,74,1,0,0,0,0
S00089165,105,2,0,87,0,0,0,11,5
S00089166,150,2,0,139,0,0,0,0,9
S00089167,107,2,0,100,1,0,1,0,3
S00089168,64,4,0,60,0,0,0,0,0
S00089169,117,2,1,107,0,0,2,0,5
S00089170,90,4,0,73,0,0,1,6,6
S00089171,74,5,2,65,0,0,0,0,2
S00089172,64,2,0,57,0,0,0,5,0
S00089173,139,8,0,127,0,0,1,0,3
S00089174,161,7,1,141,0,0,0,6,6
S00089175,124,0,0,114,0,0,1,6,3
S00089176,102,4,4,90,0,0,0,1,3
S00089177,129,4,1,119,0,0,2,2,1
S00089178,149,4,0,138,0,0,4,1,2
S00089179,172,9,1,149,0,0,2,3,8
S00089180,134,7,0,126,0,0,1,0,0
S00089181,101,7,0,93,1,0,0,0,0
S00089182,114,7,0,101,0,0,1,3,2
S00089183,98,5,0,87,0,0,1,0,5
S00089184,137,8,0,110,0,0,3,4,12
S00089185,136,14,1,114,1,0,0,0,6
S00089186,114,14,1,74,0,4,3,1,17
S00089187,67,4,0,45,0,1,2,0,15
S00089188,146,15,2,116,0,0,3,1,9
S00089189,152,11,1,122,1,1,8,0,8
S00089190,113,20,2,70,1,1,7,2,10
S00089191,137,15,2,85,1,1,3,1,29
S00089192,111,22,0,49,0,0,2,2,36
S00089193,132,18,1,66,0,0,6,1,40
S00089194,153,13,0,112,0,1,14,0,13
S00089195,135,20,1,94,0,2,8,1,9
S00089196,119,12,0,82,0,3,12,4,6
S00089197,116,5,2,93,3,0,3,0,10
S00089198,83,9,0,61,0,1,2,0,10
S00089199,100,7,0,86,0,0,1,0,6
S00089200,69,7,0,55,0,0,5,0,2
S00089201,98,9,0,73,0,1,6,5,4
S00089202,152,15,1,124,1,0,3,0,8
S00089203,214,26,4,149,2,0,10,1,22
S00089204,149,20,1,99,0,4,9,0,16
S00089205,117,15,1,83,0,1,1,5,11
S00089206,122,8,0,91,0,2,6,1,14
S00089207,100,13,0,75,0,0,3,0,9
S00089208,76,8,0,48,1,3,3,3,10
S00089209,73,6,1,49,0,0,3,2,12
S00089210,76,5,1,51,0,0,2,5,12
S00089211,71,3,1,42,1,2,3,0,19
S00089212,106,16,1,66,0,0,4,3,16
S00089213,68,6,2,41,2,0,2,4,11
S00089214,61,16,2,39,1,0,0,0,3
S00089215,67,4,1,42,0,2,0,0,18
S00089216,97,13,0,55,1,1,2,9,16
S00089217,79,8,0,32,0,2,4,12,21
S00089218,126,6,0,79,0,2,5,18,16
S00089219,84,8,0,46,0,3,4,12,11
S00089220,60,10,1,33,0,0,3,0,13
S00089221,146,5,3,103,0,0,2,12,21
S00089222,89,10,0,40,1,0,6,8,24
S00089223,70,10,0,51,0,0,3,0,6
